KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ENSMUSG00000000416.16	159	107	96	115	156	134	148	81	82	139	114	83
ENSMUSG00000000420.15	965	871	613	611	1161	855	811	1127	655	784	995	663
ENSMUSG00000000435.1	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000000439.9	385	421	279	369	551	329	338	575	373	455	609	371
ENSMUSG00000000440.12	6	2	0	1	0	1	0	0	0	0	0	0
ENSMUSG00000000441.17	310	489	321	409	415	388	170	842	489	610	773	352
ENSMUSG00000000486.13	90	97	113	93	161	85	93	157	74	97	170	95
ENSMUSG00000000489.6	32	41	15	34	40	20	23	52	25	61	48	27
ENSMUSG00000000530.16	79	58	11	41	48	30	34	126	38	36	76	37
ENSMUSG00000000531.4	24	44	52	31	59	28	24	42	49	35	39	51
ENSMUSG00000000532.10	111	180	183	198	197	126	82	268	164	169	341	159
ENSMUSG00000000538.18	318	263	197	283	452	313	238	423	186	324	372	322
ENSMUSG00000000544.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000552.9	72	191	164	61	105	98	37	241	95	134	252	91
ENSMUSG00000000555.7	37	22	19	15	12	8	8	54	33	41	30	28
ENSMUSG00000000560.9	239	142	128	207	360	209	221	222	68	232	224	132
ENSMUSG00000000561.14	1036	841	935	643	1070	916	868	956	506	691	884	858
ENSMUSG00000000562.5	0	2	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000000563.17	10976	7685	6307	9592	15666	9967	9961	12813	5363	9703	11499	9219
ENSMUSG00000000567.5	863	762	846	706	1172	992	717	808	423	512	645	708
ENSMUSG00000000568.15	6904	6799	8333	5394	8536	6519	5292	9874	4857	6704	7833	6395
ENSMUSG00000000579.14	0	0	0	0	2	0	3	0	0	3	4	4
ENSMUSG00000000581.8	6604	3624	3056	4682	8233	5295	7751	6468	2180	4131	4850	3944
ENSMUSG00000000594.7	294	403	242	328	447	402	211	464	293	381	410	361
ENSMUSG00000000600.15	473	423	412	377	542	484	393	479	226	393	496	301
ENSMUSG00000000605.9	3952	3597	3886	3856	6778	4742	3428	5145	2506	4553	4805	4057
ENSMUSG00000000606.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000627.15	336	507	432	368	580	354	205	619	397	467	565	390
ENSMUSG00000000628.10	123	178	158	91	142	134	61	177	92	121	101	135
ENSMUSG00000000631.20	175	292	224	249	279	214	117	371	233	326	383	308
ENSMUSG00000000632.13	326	457	601	407	613	458	181	668	351	581	809	546
ENSMUSG00000000673.8	0	4	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000682.7	13	16	2	4	6	9	16	12	10	12	15	5
ENSMUSG00000000686.11	5	7	8	5	16	1	6	0	2	6	11	0
ENSMUSG00000000690.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000693.10	6	20	2	6	3	4	2	7	8	12	7	10
ENSMUSG00000000701.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706.16	11	6	21	5	7	11	0	17	6	7	4	16
ENSMUSG00000000708.14	282	153	160	257	457	417	333	355	107	263	265	219
ENSMUSG00000000711.3	192	249	203	228	251	184	129	338	177	240	347	189
ENSMUSG00000000724.10	4	0	5	0	8	0	2	1	0	2	2	2
ENSMUSG00000000730.13	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000000731.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000732.9	30	32	62	58	31	39	26	46	46	25	36	36
ENSMUSG00000000738.18	186	409	333	237	303	223	156	589	289	290	438	307
ENSMUSG00000000739.14	3	2	1	7	2	1	0	1	0	0	0	0
ENSMUSG00000000740.12	983	1438	1334	993	1344	937	688	1496	789	1071	1337	1065
ENSMUSG00000000743.9	1802	1696	1216	1735	2604	1425	1223	2641	1421	1670	2318	1640
ENSMUSG00000000751.13	2057	2178	2088	1819	2551	1876	1765	2858	1850	2144	2986	2445
ENSMUSG00000000753.15	52	68	33	43	53	41	47	84	30	64	35	56
ENSMUSG00000000759.14	649	667	608	507	726	603	627	870	406	482	769	510
ENSMUSG00000000766.18	1	0	6	0	3	0	0	0	0	0	0	0
ENSMUSG00000000776.13	182	301	288	219	366	255	252	331	243	265	331	280
ENSMUSG00000000782.15	77	87	45	60	31	43	53	92	35	58	77	64
ENSMUSG00000000787.12	18036	5470	5308	11071	20224	16936	17700	15081	5913	8334	11114	12276
ENSMUSG00000000791.9	0	0	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000000792.2	0	3	0	0	0	4	0	0	0	1	0	1
ENSMUSG00000000794.9	19	26	0	18	12	28	12	13	1	8	5	1
ENSMUSG00000000804.14	533	640	631	490	848	747	482	650	348	624	638	579
ENSMUSG00000000805.18	81	86	48	58	65	42	52	103	55	77	82	60
ENSMUSG00000000811.13	88	76	47	36	71	34	86	104	55	60	74	47
