KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ENSMUSG00000048399.4	1	4	4	0	0	0	0	0	0	3	4	0
ENSMUSG00000048400.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048402.14	392	442	423	284	505	344	278	485	381	358	435	419
ENSMUSG00000048406.5	186	129	173	197	274	191	139	266	113	197	190	144
ENSMUSG00000048410.16	151	156	159	149	168	158	152	196	117	165	216	170
ENSMUSG00000048411.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048416.15	608	373	297	419	605	380	637	547	283	347	467	325
ENSMUSG00000048424.16	50	36	26	36	21	14	15	20	19	10	21	41
ENSMUSG00000048425.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048429.10	768	916	807	801	1114	813	576	1550	897	976	1331	836
ENSMUSG00000048439.15	54	65	35	54	46	39	23	80	53	51	69	65
ENSMUSG00000048440.15	81	116	85	97	109	59	56	169	80	92	103	78
ENSMUSG00000048442.15	1	0	0	0	3	5	10	7	0	0	0	1
ENSMUSG00000048445.6	7	44	48	13	34	0	10	23	17	24	26	8
ENSMUSG00000048450.10	54	126	43	54	42	61	41	52	65	59	39	72
ENSMUSG00000048455.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048456.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048458.8	556	779	821	741	776	611	363	1003	640	798	1035	595
ENSMUSG00000048469.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048473.15	1	5	5	10	5	0	3	2	6	1	0	0
ENSMUSG00000048478.7	50	65	57	48	84	28	52	62	57	33	82	63
ENSMUSG00000048480.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048481.15	66	87	96	62	117	89	49	92	63	106	97	86
ENSMUSG00000048482.14	2	2	0	6	19	8	3	6	1	4	5	0
ENSMUSG00000048483.6	2	3	6	7	8	9	5	9	11	10	19	5
ENSMUSG00000048484.4	0	4	0	0	3	8	0	6	2	1	5	0
ENSMUSG00000048485.12	12	10	17	10	27	10	6	9	8	11	11	12
ENSMUSG00000048486.6	110	108	123	106	208	145	106	189	98	128	216	120
ENSMUSG00000048489.12	1	19	5	5	0	11	2	5	4	1	10	1
ENSMUSG00000048490.13	628	557	502	455	853	685	729	565	309	485	501	534
ENSMUSG00000048495.16	257	90	61	95	157	129	333	210	50	87	68	130
ENSMUSG00000048497.11	175	210	194	129	178	216	136	288	142	208	240	187
ENSMUSG00000048498.7	1	0	5	0	0	0	0	5	0	0	0	0
ENSMUSG00000048500.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048501.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048502.14	0	0	0	0	0	0	1	1	0	0	0	1
ENSMUSG00000048503.7	83	108	61	72	110	86	76	128	86	90	116	86
ENSMUSG00000048516.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048520.16	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048521.8	1	0	0	0	7	0	0	0	0	2	0	0
ENSMUSG00000048528.7	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000048534.7	2	3	0	0	0	7	0	1	2	0	2	8
ENSMUSG00000048537.16	369	415	440	364	593	414	240	686	359	411	574	415
ENSMUSG00000048538.7	0	0	3	0	0	1	0	3	0	0	0	0
ENSMUSG00000048540.8	2953	2790	2859	2732	4200	3527	2710	3664	1579	2715	3065	2489
ENSMUSG00000048544.8	3	0	0	1	0	0	4	0	0	8	2	3
ENSMUSG00000048546.7	247	347	235	364	472	321	161	383	219	339	433	435
ENSMUSG00000048550.17	509	419	497	334	567	342	402	547	270	379	556	388
ENSMUSG00000048559.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048562.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048572.4	48	44	25	49	43	56	26	71	31	31	45	36
ENSMUSG00000048573.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048574.9	0	0	2	1	2	3	4	4	0	4	3	0
ENSMUSG00000048578.11	2219	2438	1620	2207	2967	1974	1716	3458	1889	2504	2832	2206
ENSMUSG00000048581.12	34	19	12	9	48	30	32	22	25	28	33	24
ENSMUSG00000048582.7	0	1	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000048583.16	5	8	8	16	10	8	1	9	11	15	28	9
ENSMUSG00000048592.9	4	1	2	6	4	3	9	5	2	2	0	2
ENSMUSG00000048600.7	0	0	1	0	0	0	0	0	0	1	0	0
ENSMUSG00000048602.8	0	0	0	0	6	1	1	0	0	0	0	0
ENSMUSG00000048603.8	33	38	27	30	32	12	25	33	21	22	24	20
ENSMUSG00000048612.16	26	20	1	5	16	19	18	1	8	15	11	21
ENSMUSG00000048616.4	12	4	5	7	1	7	2	2	2	3	1	4
ENSMUSG00000048617.16	5	4	3	2	0	2	2	5	4	6	5	5
ENSMUSG00000048620.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048621.3	6	2	0	5	3	7	0	0	3	0	0	0
ENSMUSG00000048626.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048628.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048636.7	1	2	0	0	0	3	3	0	0	0	0	2
ENSMUSG00000048643.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048644.8	1608	2581	2271	1843	2183	1843	1041	3680	2058	2654	3290	2220
ENSMUSG00000048647.9	4	0	0	1	4	0	0	6	0	1	11	2
ENSMUSG00000048652.12	0	0	1	0	2	6	2	0	5	2	3	0
ENSMUSG00000048655.17	4	1	0	0	0	0	0	3	5	0	2	0
ENSMUSG00000048661.14	756	736	689	523	921	675	609	737	309	613	589	633
ENSMUSG00000048668.16	196	212	187	166	193	222	111	378	181	243	277	219
ENSMUSG00000048677.9	10	15	17	12	10	4	6	29	26	18	36	7
ENSMUSG00000048686.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048693.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048696.11	1680	1925	1522	2520	3120	2345	1147	3375	1628	2552	3150	2324
ENSMUSG00000048697.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048699.4	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000048701.13	305	235	248	235	329	315	264	269	214	251	294	248
ENSMUSG00000048703.9	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048706.3	1456	906	1067	1268	2273	1568	1333	1785	797	1392	1486	1466
ENSMUSG00000048707.9	1044	668	947	779	1242	818	814	1219	674	942	1157	889
ENSMUSG00000048709.6	2	0	5	0	0	4	2	1	0	0	3	0
ENSMUSG00000048720.7	899	445	355	402	937	761	899	656	255	483	573	491
ENSMUSG00000048721.2	2	3	0	6	4	4	2	7	0	2	5	0
ENSMUSG00000048728.15	73	54	41	44	127	50	88	87	58	80	100	76
ENSMUSG00000048731.14	17	21	13	30	17	16	13	63	4	14	27	44
ENSMUSG00000048732.5	68	52	34	37	47	46	21	117	33	88	63	45
ENSMUSG00000048745.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048747.14	2450	1899	1976	1846	2720	2053	2555	2680	1345	1837	2299	1787
ENSMUSG00000048752.7	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000048755.8	540	623	543	528	689	441	417	965	478	622	820	512
ENSMUSG00000048756.11	887	671	458	787	1187	981	854	1272	509	773	889	767
ENSMUSG00000048758.14	414	521	594	404	561	426	200	719	394	508	721	439
ENSMUSG00000048763.11	0	0	0	0	0	0	0	0	0	3	0	0
ENSMUSG00000048764.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048766.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048772.15	12	8	9	3	32	4	3	24	5	10	17	21
ENSMUSG00000048775.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048776.8	6	9	8	7	1	1	6	7	0	11	9	9
ENSMUSG00000048779.5	6	20	0	11	1	1	4	5	5	5	3	1
ENSMUSG00000048782.15	474	408	321	578	826	525	537	797	385	666	814	566
ENSMUSG00000048787.13	119	161	159	181	203	179	139	233	168	170	166	213
ENSMUSG00000048794.14	10	19	31	5	13	12	9	23	5	25	16	14
ENSMUSG00000048796.7	59	42	26	39	47	34	24	95	55	56	54	49
ENSMUSG00000048799.7	187	145	248	251	307	270	150	365	123	223	297	240
ENSMUSG00000048806.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048807.2	170	187	211	166	228	130	87	266	181	213	198	148
ENSMUSG00000048810.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048814.10	405	269	252	268	463	359	336	429	158	309	252	268
ENSMUSG00000048824.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048826.6	1	1	0	2	3	0	0	1	4	0	4	0
ENSMUSG00000048827.12	0	0	0	1	1	0	2	0	0	0	0	0
ENSMUSG00000048830.3	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000048832.8	87	114	80	124	104	91	54	210	101	104	212	107
ENSMUSG00000048833.9	318	404	338	334	418	301	341	554	324	440	445	339
ENSMUSG00000048834.16	131	64	26	56	107	109	129	90	46	48	80	82
ENSMUSG00000048852.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048856.9	88	65	39	87	100	44	51	109	51	66	94	73
ENSMUSG00000048865.16	5	11	2	3	8	6	11	16	3	3	11	7
ENSMUSG00000048874.15	875	475	602	572	1109	837	817	750	386	607	626	586
ENSMUSG00000048875.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048878.6	307	390	390	296	413	338	184	493	367	358	641	367
ENSMUSG00000048895.13	2254	2886	3226	3044	4570	3676	2145	4078	1929	3544	3871	3188
ENSMUSG00000048897.15	60	85	112	54	76	73	40	84	70	63	81	79
ENSMUSG00000048899.8	127	163	145	156	201	149	95	323	126	198	285	140
ENSMUSG00000048904.5	2	1	0	1	5	6	0	14	1	3	0	0
ENSMUSG00000048905.5	0	6	0	6	14	3	3	6	0	1	5	11
ENSMUSG00000048911.15	33	53	45	41	23	58	21	153	45	59	87	80
ENSMUSG00000048915.12	305	201	208	185	360	252	240	256	104	239	256	235
ENSMUSG00000048916.7	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000048919.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048920.8	423	594	456	474	696	430	372	853	310	518	575	427
ENSMUSG00000048921.11	174	55	142	143	224	214	137	198	110	99	186	135
ENSMUSG00000048922.18	435	467	672	313	414	351	345	657	403	436	492	400
ENSMUSG00000048924.14	31	26	36	19	58	27	21	33	17	40	33	16
ENSMUSG00000048930.12	114	204	287	79	114	96	47	246	144	158	247	168
ENSMUSG00000048933.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048938.12	1	2	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000048939.13	6	20	5	5	1	1	4	17	6	9	6	22
ENSMUSG00000048949.8	12	5	17	11	18	7	11	14	6	11	9	16
ENSMUSG00000048960.13	516	335	383	429	803	541	583	494	239	461	508	503
ENSMUSG00000048965.9	7	13	21	10	6	8	7	26	4	2	9	8
ENSMUSG00000048967.16	40	94	75	56	105	38	18	88	22	78	103	66
ENSMUSG00000048970.9	707	319	249	407	772	658	761	513	200	368	403	429
ENSMUSG00000048978.14	111	103	78	108	131	110	113	117	74	94	134	76
ENSMUSG00000048981.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048982.3	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000048988.8	2	0	0	0	1	1	0	1	0	6	0	0
ENSMUSG00000048992.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048994.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048996.6	4	0	0	3	13	3	16	2	4	0	6	0
ENSMUSG00000048997.17	90	120	152	113	85	90	29	160	95	98	159	63
ENSMUSG00000049001.5	109	70	41	64	67	91	101	48	40	33	66	47
ENSMUSG00000049008.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049010.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049011.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049013.3	0	0	0	0	0	0	0	0	1	0	2	0
ENSMUSG00000049015.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049018.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049028.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049036.7	1252	1388	901	1262	2011	1106	906	1950	1047	1527	1763	1294
ENSMUSG00000049037.8	6	3	6	0	2	3	1	3	0	4	1	0
ENSMUSG00000049038.3	244	136	147	135	257	213	233	180	71	151	174	165
ENSMUSG00000049041.6	0	4	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049044.16	110	97	62	64	138	68	49	72	30	63	71	71
ENSMUSG00000049047.11	139	99	103	117	164	134	140	197	61	104	126	110
ENSMUSG00000049052.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049057.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049062.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049073.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049076.9	556	378	338	376	653	543	561	567	246	383	468	322
ENSMUSG00000049086.8	79	112	120	67	96	69	58	126	49	116	134	66
ENSMUSG00000049090.2	678	676	394	580	781	641	619	908	397	596	823	531
ENSMUSG00000049091.6	448	761	645	454	689	420	330	700	514	666	784	539
ENSMUSG00000049092.11	431	301	343	400	687	537	422	636	273	407	462	437
ENSMUSG00000049093.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049094.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049097.9	0	8	0	3	2	7	2	3	0	2	8	0
ENSMUSG00000049098.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049100.15	454	211	153	236	350	449	358	388	153	157	259	292
ENSMUSG00000049103.14	2	2	0	1	11	10	1	4	0	9	1	4
ENSMUSG00000049106.7	487	470	447	468	688	502	384	759	437	584	670	447
ENSMUSG00000049107.13	48	90	56	42	56	39	29	63	37	70	49	45
ENSMUSG00000049109.15	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000049112.9	0	2	0	0	2	3	5	4	0	3	4	0
ENSMUSG00000049115.15	2	13	8	3	15	4	7	2	6	2	11	5
ENSMUSG00000049119.14	198	214	166	177	293	202	147	278	140	209	314	159
ENSMUSG00000049122.17	404	232	265	354	521	390	358	285	171	304	351	320
ENSMUSG00000049123.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049124.3	60	44	66	45	81	28	61	77	26	46	56	51
ENSMUSG00000049128.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049130.6	1	0	4	0	0	3	1	2	6	1	5	5
ENSMUSG00000049133.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049134.15	1	0	0	0	0	1	1	1	0	4	2	2
ENSMUSG00000049148.8	12	30	25	11	29	14	34	24	6	32	22	5
ENSMUSG00000049149.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049152.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049154.11	0	4	0	2	4	1	3	0	0	0	1	0
ENSMUSG00000049160.15	0	0	0	0	0	0	0	0	0	1	3	0
ENSMUSG00000049164.6	1153	484	443	755	1259	934	1071	857	300	619	684	748
ENSMUSG00000049168.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049173.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049176.14	53	48	15	29	45	51	58	39	23	12	57	34
ENSMUSG00000049184.6	545	636	523	583	863	699	666	629	340	571	692	497
ENSMUSG00000049191.12	92	139	108	101	198	73	82	165	123	141	234	133
ENSMUSG00000049202.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049214.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049217.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049225.14	1720	1377	1231	1427	2697	1986	1440	1901	1099	1648	2173	1909
ENSMUSG00000049229.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049230.8	21	29	4	30	16	15	17	44	21	34	57	14
ENSMUSG00000049231.6	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000049232.3	594	273	249	384	677	561	615	550	229	406	551	454
ENSMUSG00000049233.7	14	7	29	14	35	11	8	11	4	11	8	12
ENSMUSG00000049235.8	0	3	0	2	1	0	2	1	1	1	0	0
ENSMUSG00000049241.5	5	14	0	2	0	8	6	4	2	14	7	8
ENSMUSG00000049246.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049249.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049252.17	81	19	24	43	67	66	58	49	26	40	39	41
ENSMUSG00000049265.7	3	2	0	0	3	2	1	2	0	0	7	4
ENSMUSG00000049280.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049281.16	225	155	136	149	300	219	178	192	117	220	235	163
ENSMUSG00000049285.4	110	183	190	142	183	121	112	249	108	213	265	188
ENSMUSG00000049287.5	90	69	61	70	100	99	54	142	51	78	108	62
ENSMUSG00000049288.4	156	227	144	151	195	151	170	251	96	164	216	118
ENSMUSG00000049291.6	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049295.17	872	915	872	795	991	838	565	1327	787	913	1101	972
ENSMUSG00000049299.14	753	730	769	681	897	555	506	1182	664	798	1070	659
ENSMUSG00000049300.11	571	447	447	416	736	491	450	652	352	536	486	398
ENSMUSG00000049303.10	33	26	29	32	60	36	14	69	32	28	57	35
ENSMUSG00000049305.6	338	407	423	283	462	302	225	553	253	389	466	395
ENSMUSG00000049307.6	12	1	3	0	4	3	9	9	0	2	10	16
ENSMUSG00000049313.8	44	40	50	51	52	50	31	41	31	53	59	31
ENSMUSG00000049314.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049315.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049321.17	442	404	351	327	526	421	501	463	274	304	445	347
ENSMUSG00000049323.8	102	163	134	142	223	129	85	243	117	178	218	226
ENSMUSG00000049327.17	802	1121	954	825	1202	816	483	1311	855	1012	1290	772
ENSMUSG00000049334.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049336.16	294	334	357	116	302	293	142	243	104	250	191	225
ENSMUSG00000049339.16	801	1221	1122	1034	1339	800	570	1695	1011	1359	1664	1041
ENSMUSG00000049349.3	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000049350.6	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049353.17	4	8	1	10	15	3	10	2	3	10	19	4
ENSMUSG00000049354.8	854	813	634	694	911	750	593	1523	668	816	1071	598
ENSMUSG00000049357.11	10	11	3	4	1	6	6	11	1	4	5	4
ENSMUSG00000049362.6	0	4	3	0	0	0	0	0	0	0	0	0
ENSMUSG00000049372.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049382.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049387.10	0	0	1	1	0	0	3	0	0	0	3	0
ENSMUSG00000049396.6	3	11	5	7	16	2	3	2	1	8	0	2
ENSMUSG00000049401.10	1568	1435	1430	1290	1883	1562	1095	1988	1155	1443	1712	1306
ENSMUSG00000049404.7	7	10	11	7	9	6	5	13	14	2	6	4
ENSMUSG00000049409.9	74	69	49	38	64	55	28	55	27	48	74	26
ENSMUSG00000049410.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049411.14	87	83	49	58	104	72	81	63	47	67	135	99
ENSMUSG00000049414.6	0	0	0	2	0	1	3	6	2	0	2	0
ENSMUSG00000049420.9	15	9	1	12	16	20	7	15	9	8	19	32
ENSMUSG00000049421.13	2992	1411	1336	2218	4024	3288	3438	3027	1093	2159	2344	2337
ENSMUSG00000049422.7	33	50	53	25	13	23	22	12	6	30	30	11
ENSMUSG00000049427.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049436.4	0	6	0	0	0	0	1	3	1	1	2	0
ENSMUSG00000049439.13	361	467	437	477	634	494	292	730	374	504	714	491
ENSMUSG00000049456.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049460.7	1	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000049470.13	2224	1256	1177	1700	3073	2624	2023	2176	1125	1582	1973	2087
ENSMUSG00000049476.12	0	1	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000049477.5	3	0	0	0	1	0	0	1	0	0	0	0
ENSMUSG00000049482.16	647	616	520	567	877	493	447	801	522	688	923	638
ENSMUSG00000049488.14	79	74	47	47	63	42	44	82	41	53	73	43
ENSMUSG00000049489.5	191	248	246	160	220	126	107	323	180	219	254	167
ENSMUSG00000049491.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049493.13	17	6	2	9	8	9	15	13	0	2	13	2
ENSMUSG00000049498.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049502.16	26	48	25	42	39	43	30	66	12	44	45	41
ENSMUSG00000049504.12	105	187	152	88	182	157	91	154	120	112	177	192
ENSMUSG00000049506.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049511.5	26	24	39	24	30	59	42	16	26	15	42	25
ENSMUSG00000049515.12	0	0	0	11	0	0	1	2	10	0	6	0
ENSMUSG00000049516.9	545	316	306	413	755	690	491	518	281	386	546	431
ENSMUSG00000049517.8	291	329	291	263	409	214	234	402	156	305	320	278
ENSMUSG00000049521.1	50	37	21	42	44	23	19	65	29	46	39	34
ENSMUSG00000049526.8	7	0	0	2	0	0	8	3	3	5	0	0
ENSMUSG00000049528.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049530.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049532.11	451	460	493	316	586	471	340	518	322	383	439	438
ENSMUSG00000049536.5	727	510	401	540	854	613	781	954	329	542	644	555
ENSMUSG00000049537.10	0	0	0	1	2	0	0	0	0	2	2	0
ENSMUSG00000049538.14	15	14	0	5	6	8	7	14	9	4	5	12
ENSMUSG00000049539.3	67	68	80	45	48	67	44	78	36	57	82	44
ENSMUSG00000049548.8	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000049550.17	54	39	42	42	62	46	37	60	25	52	70	37
ENSMUSG00000049551.2	5	0	0	6	0	1	4	2	0	5	7	1
ENSMUSG00000049553.11	129	250	270	114	214	156	127	335	248	165	290	232
ENSMUSG00000049555.10	1	4	4	10	8	10	2	11	7	11	3	8
ENSMUSG00000049556.5	685	949	994	878	1270	941	502	1572	847	1045	1300	974
ENSMUSG00000049560.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049561.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049562.5	3	17	5	10	28	3	1	20	29	5	6	10
ENSMUSG00000049565.16	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049571.18	3	5	0	2	0	3	5	11	2	3	1	3
ENSMUSG00000049573.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049576.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049577.15	209	295	417	187	219	158	54	451	309	287	368	242
ENSMUSG00000049580.12	402	423	546	684	603	371	283	1093	695	749	1030	494
ENSMUSG00000049583.15	133	43	38	79	72	84	68	130	13	49	75	71
ENSMUSG00000049588.13	10	0	5	10	16	0	3	7	0	4	2	5
ENSMUSG00000049593.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049598.9	1	0	0	0	4	2	6	0	0	2	0	0
ENSMUSG00000049600.8	86	183	184	140	178	131	73	325	166	169	284	139
ENSMUSG00000049604.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049605.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049606.16	1770	1088	1229	1158	2371	1650	1847	1516	745	1324	1435	1289
ENSMUSG00000049608.8	0	2	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000049612.10	21	19	7	15	23	19	14	14	5	11	8	4
ENSMUSG00000049618.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049620.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049624.14	167	230	215	159	218	128	120	231	112	187	219	153
ENSMUSG00000049625.6	10	1	0	2	3	7	2	0	0	7	3	0
ENSMUSG00000049630.6	9	3	0	0	5	6	6	9	7	3	3	10
ENSMUSG00000049641.14	0	3	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049643.15	68	195	128	126	92	122	54	238	145	187	221	121
ENSMUSG00000049648.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049649.8	27	8	34	25	35	37	28	38	23	24	34	16
ENSMUSG00000049653.4	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049657.9	369	456	408	390	570	413	320	643	387	496	472	463
ENSMUSG00000049658.13	632	336	471	440	717	637	623	448	238	400	411	470
ENSMUSG00000049659.15	353	425	359	238	467	277	257	528	296	367	462	325
ENSMUSG00000049670.8	435	549	458	544	721	597	359	1013	468	610	799	592
ENSMUSG00000049672.14	150	194	180	181	185	153	123	347	138	203	234	145
ENSMUSG00000049674.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049676.14	0	0	2	0	3	1	0	0	0	0	0	0
ENSMUSG00000049680.17	357	465	454	349	401	283	160	661	421	418	603	369
ENSMUSG00000049685.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049686.14	45	127	89	84	111	83	39	140	70	145	141	66
ENSMUSG00000049687.5	6	9	1	5	8	10	4	31	3	1	8	0
ENSMUSG00000049690.15	15	8	18	4	14	8	14	6	5	4	13	3
ENSMUSG00000049691.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049692.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049694.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049699.4	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000049708.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049709.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049717.9	138	196	166	127	212	182	89	160	56	172	224	173
ENSMUSG00000049719.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049721.14	0	0	0	5	6	6	3	28	5	0	6	0
ENSMUSG00000049723.14	4	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049728.14	165	273	292	191	247	179	95	338	183	235	240	234
ENSMUSG00000049734.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049737.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049739.10	112	163	150	163	202	156	87	273	176	176	243	199
ENSMUSG00000049740.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049741.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049744.15	61	62	18	44	90	50	93	66	17	36	50	37
ENSMUSG00000049751.6	76	86	64	89	80	63	89	99	41	79	73	70
ENSMUSG00000049755.14	339	263	206	244	452	375	305	320	216	303	313	243
ENSMUSG00000049758.7	1	0	0	0	0	0	0	1	0	0	0	3
