SHAM_rep1	SHAM_rep2	SHAM_rep3	SHAM_rep4	SNL_rep1	SNL_rep2	SNL_rep3	SNL_rep4
ENSMUSG00000000605	3628	3542	5026	5055	5013	3728	6077	5486
ENSMUSG00000000606	0	0	0	0	0	0	0	0
ENSMUSG00000000617	0	0	0	0	0	0	0	0
ENSMUSG00000000627	18	9	25	21	24	1	0	16
ENSMUSG00000000628	1945	2253	3872	3905	3012	2636	4423	2965
ENSMUSG00000000631	1190	1677	2310	1806	1214	1069	1571	1655
ENSMUSG00000000632	17	16	10	5	1	17	0	27
ENSMUSG00000000673	337	364	655	585	436	230	764	471
ENSMUSG00000000682	1109	1101	2004	1592	1962	1362	2412	1986
ENSMUSG00000000686	144	157	223	177	132	180	204	136
ENSMUSG00000000690	2	8	0	1	1	1	1	9
ENSMUSG00000000693	215	214	200	339	268	253	505	570
ENSMUSG00000000701	0	0	0	0	0	0	0	0
ENSMUSG00000000706	0	0	0	0	0	0	0	0
ENSMUSG00000000708	391	276	322	462	443	335	498	397
ENSMUSG00000000711	2241	1836	3211	3208	2980	2120	3203	3539
ENSMUSG00000000724	1	6	7	0	4	0	9	4
ENSMUSG00000000730	0	0	0	0	0	0	0	0
ENSMUSG00000000731	0	0	0	0	0	0	0	0
ENSMUSG00000000732	2860	3149	5302	4664	5018	3359	6003	5553
ENSMUSG00000000738	294	329	422	582	496	420	526	543
ENSMUSG00000000739	0	0	0	0	0	1	6	0
ENSMUSG00000000740	130	1631	1895	475	171	196	2839	2175
ENSMUSG00000000743	1183	1241	2229	1963	1358	1269	2278	2507
ENSMUSG00000000751	1247	1377	2469	1773	1654	1121	2085	2628
ENSMUSG00000000753	510	574	1381	876	522	555	926	921
ENSMUSG00000000759	385	735	1234	637	509	432	840	599
ENSMUSG00000000766	45	58	142	212	163	74	94	99
ENSMUSG00000000776	102	12	282	107	122	138	236	122
ENSMUSG00000000782	10	0	0	1	24	1	19	13
ENSMUSG00000000787	1165	1067	1584	1934	1899	1389	1740	1462
ENSMUSG00000000791	9	0	0	1	0	0	19	0
ENSMUSG00000000792	3	0	5	27	0	0	2	7
ENSMUSG00000000794	60	55	66	27	19	20	31	71
ENSMUSG00000000804	344	297	418	475	634	349	426	600
ENSMUSG00000000805	270	100	0	96	98	28	67	211
ENSMUSG00000000811	3	24	78	61	27	6	17	39
ENSMUSG00000000817	0	6	7	5	20	3	0	5
ENSMUSG00000000823	622	583	1083	1291	1044	651	1148	903
ENSMUSG00000000826	1262	1739	2316	1508	1407	1210	2120	1882
ENSMUSG00000000827	1618	1605	2305	2306	2204	1410	2334	2185
ENSMUSG00000000838	228	313	338	318	340	217	380	284
ENSMUSG00000000861	9	10	8	8	23	2	25	25
ENSMUSG00000000869	2	17	14	14	7	9	1	11
ENSMUSG00000000876	453	335	455	656	350	395	480	678
ENSMUSG00000000881	113	183	166	269	176	126	181	181
ENSMUSG00000000884	151	136	292	89	131	76	235	149
ENSMUSG00000000889	0	0	0	0	0	0	0	0
ENSMUSG00000000901	56	159	135	274	32	90	246	105
ENSMUSG00000000902	909	1053	1477	1545	453	977	1812	2097
ENSMUSG00000000903	4	5	0	9	14	4	18	3
ENSMUSG00000000915	61	38	81	48	22	10	32	30
ENSMUSG00000000916	136	160	234	119	72	126	323	210
ENSMUSG00000000934	104	262	101	127	158	123	141	229
ENSMUSG00000000938	20	50	17	57	56	15	10	27
ENSMUSG00000000942	4	0	2	7	1	4	7	17
ENSMUSG00000000948	5	1	1	3	7	3	8	12
ENSMUSG00000000957	146	302	427	364	197	202	209	311
ENSMUSG00000000958	1983	2120	3410	3468	2589	2378	4133	4155
ENSMUSG00000000959	609	660	856	887	658	737	1164	873
ENSMUSG00000000976	633	741	1320	1354	565	887	1302	1052
ENSMUSG00000000982	301	274	521	658	397	282	575	463
ENSMUSG00000000983	8	6	4	4	5	5	1	17
ENSMUSG00000001014	0	0	0	0	0	0	0	0
ENSMUSG00000001016	819	863	1131	1371	1016	746	1091	1244
ENSMUSG00000001017	302	397	743	469	306	520	543	368
ENSMUSG00000001018	192	548	737	591	175	422	782	811
ENSMUSG00000001020	0	0	1	0	0	0	0	0
ENSMUSG00000001021	0	0	0	0	4	0	4	0
ENSMUSG00000001023	0	0	0	0	0	0	0	0
ENSMUSG00000001025	65	32	54	50	51	33	56	116
ENSMUSG00000001027	0	0	0	3	0	0	1	0
ENSMUSG00000001029	73	61	56	111	49	34	54	38
ENSMUSG00000001034	204	160	206	238	103	111	328	206
ENSMUSG00000001036	435	368	667	712	363	423	512	670
ENSMUSG00000001039	94	41	80	118	104	83	129	145
ENSMUSG00000001052	555	410	785	982	929	575	879	758
ENSMUSG00000001053	4	0	0	0	4	1	0	8
ENSMUSG00000001054	199	157	661	366	111	305	310	348
ENSMUSG00000001056	211	217	290	266	292	177	405	350
ENSMUSG00000001062	390	530	777	607	371	494	1032	550
ENSMUSG00000001065	106	171	218	344	184	140	260	182
ENSMUSG00000001076	0	0	0	0	0	0	0	0
ENSMUSG00000001082	82	257	300	257	87	211	312	226
ENSMUSG00000001089	266	434	491	339	339	375	362	617
ENSMUSG00000001095	7	0	0	20	0	0	17	4
ENSMUSG00000001098	133	69	140	119	91	72	146	161
ENSMUSG00000001100	148	214	282	213	236	161	332	312
ENSMUSG00000001103	0	7	0	0	0	1	0	0
ENSMUSG00000001105	789	716	842	991	757	591	1040	1108
ENSMUSG00000001119	22	18	1	4	33	10	0	1
ENSMUSG00000001120	2	5	3	3	3	14	26	59
ENSMUSG00000001123	4011	4370	7246	6663	6466	5089	9141	7333
ENSMUSG00000001127	2145	1678	3184	3378	2772	2239	3635	3585
ENSMUSG00000001128	41	77	166	63	44	91	154	62
ENSMUSG00000001131	0	0	0	1	0	0	0	1
ENSMUSG00000001134	49	45	85	93	65	42	72	91
ENSMUSG00000001138	226	134	279	412	200	253	317	313
ENSMUSG00000001143	530	977	1579	1303	945	773	1754	1612
ENSMUSG00000001150	269	401	819	765	473	300	709	502
ENSMUSG00000001151	138	253	281	304	235	176	335	231
ENSMUSG00000001155	0	0	0	0	0	0	0	0
ENSMUSG00000001156	284	306	382	191	215	193	393	303
ENSMUSG00000001157	185	113	292	145	184	130	181	181
ENSMUSG00000001158	451	512	629	545	546	446	627	597
ENSMUSG00000001166	14	28	38	26	35	0	3	16
ENSMUSG00000001168	0	0	0	0	0	0	0	0
ENSMUSG00000001173	179	80	254	363	318	158	309	294
ENSMUSG00000001175	6934	5754	8704	7997	5799	5924	8369	12521
ENSMUSG00000001211	568	407	751	676	599	458	977	1129
ENSMUSG00000001225	0	0	0	0	0	0	0	0
ENSMUSG00000001227	12	15	14	4	38	23	9	31
ENSMUSG00000001228	2	69	141	54	53	78	181	37
ENSMUSG00000001229	268	329	371	287	133	154	631	345
ENSMUSG00000001240	26	40	6	27	9	3	24	24
ENSMUSG00000001247	22	8	18	28	14	4	9	19
ENSMUSG00000001248	546	614	1021	813	721	747	1179	743
ENSMUSG00000001249	171	237	474	381	128	212	545	266
ENSMUSG00000001260	342	221	365	192	312	156	253	571
ENSMUSG00000001270	11105	23159	24555	19848	2365	14514	24842	42896
ENSMUSG00000001280	698	538	1051	1012	862	624	1153	984
ENSMUSG00000001281	56	4	7	53	31	27	13	58
ENSMUSG00000001285	703	895	1086	1198	981	827	1254	1282
ENSMUSG00000001288	1	5	9	9	1	6	11	4
ENSMUSG00000001289	1668	1590	2302	2001	1924	1613	2580	2751
ENSMUSG00000001300	39	17	26	22	53	28	27	33
ENSMUSG00000001305	137	187	213	195	155	56	138	224
ENSMUSG00000001313	228	117	283	234	225	219	231	1007
ENSMUSG00000001323	303	185	284	267	268	190	252	365
ENSMUSG00000001333	5	0	0	17	5	7	8	12
ENSMUSG00000001334	369	257	328	281	265	190	186	554
ENSMUSG00000001348	8	14	0	9	0	20	17	5
ENSMUSG00000001349	2	0	11	0	5	1	9	12
ENSMUSG00000001366	204	162	215	336	340	217	282	295
ENSMUSG00000001376	561	623	809	906	740	579	915	889
ENSMUSG00000001380	587	591	1062	1020	690	668	991	1244
ENSMUSG00000001383	724	569	781	682	706	501	678	1390
ENSMUSG00000001403	10	0	16	9	2	0	37	17
ENSMUSG00000001415	387	543	803	866	728	580	1158	851
ENSMUSG00000001416	1835	1472	1819	2281	2547	1871	2573	2858
ENSMUSG00000001418	5611	4648	9003	8620	7696	6936	10785	9965
ENSMUSG00000001419	877	704	1330	1314	975	899	1298	1028
ENSMUSG00000001420	9	9	19	10	9	3	9	13
ENSMUSG00000001424	442	853	1927	1011	548	894	1682	1137
ENSMUSG00000001435	6	1	1	19	1	13	2	11
ENSMUSG00000001436	436	469	1191	750	680	394	1122	761
ENSMUSG00000001440	1098	868	2055	1690	1334	1224	1733	1590
ENSMUSG00000001441	889	811	1038	1150	1282	807	1366	1238
ENSMUSG00000001444	0	1	0	0	0	0	0	0
ENSMUSG00000001445	371	298	610	338	324	368	569	529
ENSMUSG00000001467	988	984	1560	791	893	835	1422	1394
ENSMUSG00000001472	1507	2066	2591	2397	1818	1457	2553	2729
ENSMUSG00000001473	503	431	1084	729	751	609	834	672
ENSMUSG00000001482	582	348	700	583	638	700	676	842
ENSMUSG00000001493	19	41	47	11	26	1	18	28
ENSMUSG00000001494	0	0	0	0	0	0	0	0
ENSMUSG00000001496	0	0	0	0	0	0	0	0
ENSMUSG00000001497	0	0	0	0	0	0	0	0
ENSMUSG00000001504	0	2	0	0	1	0	1	4
ENSMUSG00000001506	8	4	30	8	4	17	11	22
ENSMUSG00000001507	13	18	6	65	16	25	5	33
ENSMUSG00000001508	7	0	0	0	0	4	0	19
ENSMUSG00000001510	0	0	0	0	0	0	0	0
ENSMUSG00000001517	29	48	29	50	16	2	86	57
ENSMUSG00000001518	302	353	564	606	396	355	512	560
ENSMUSG00000001520	71	39	124	176	61	44	107	111
ENSMUSG00000001521	72	89	244	265	217	148	184	216
ENSMUSG00000001524	217	207	467	308	68	245	324	272
ENSMUSG00000001525	6190	5534	11209	10209	7678	6379	11038	9561
ENSMUSG00000001542	175	142	233	214	197	111	280	184
ENSMUSG00000001552	325	333	491	518	348	233	594	467
ENSMUSG00000001555	25	16	4	30	15	0	3	21
ENSMUSG00000001558	6	25	0	22	33	13	1	16
ENSMUSG00000001566	0	0	0	0	0	0	0	0
ENSMUSG00000001569	253	302	179	253	364	208	310	266
ENSMUSG00000001576	141	217	212	292	119	200	419	430
ENSMUSG00000001583	0	0	0	0	0	0	1	0
ENSMUSG00000001588	10	11	10	33	8	8	15	7
