SHAM_rep1	SHAM_rep2	SHAM_rep3	SHAM_rep4	SNL_rep1	SNL_rep2	SNL_rep3	SNL_rep4
ENSMUSG00000033423	2688	2464	3742	4591	4052	2213	3980	3177
ENSMUSG00000033427	0	9	0	0	0	1	0	0
ENSMUSG00000033429	196	164	192	173	155	153	169	264
ENSMUSG00000033430	41	36	103	81	103	48	176	99
ENSMUSG00000033434	18	3	15	22	4	2	12	13
ENSMUSG00000033436	365	215	266	623	255	271	347	600
ENSMUSG00000033439	443	403	572	663	632	310	559	480
ENSMUSG00000033444	414	254	638	484	399	347	451	769
ENSMUSG00000033446	4340	4520	7191	7856	6715	4247	6643	5746
ENSMUSG00000033450	727	1277	2030	987	920	1172	1787	1134
ENSMUSG00000033453	0	0	0	0	0	0	0	0
ENSMUSG00000033454	670	483	832	1034	934	646	1189	759
ENSMUSG00000033458	102	95	105	250	181	93	205	92
ENSMUSG00000033460	124	84	103	79	49	31	84	144
ENSMUSG00000033467	2	3	12	7	7	7	22	13
ENSMUSG00000033470	2	0	0	0	0	2	3	0
ENSMUSG00000033475	3	0	3	3	2	2	1	3
ENSMUSG00000033478	123	169	330	238	265	212	312	254
ENSMUSG00000033486	97	79	142	144	151	107	123	99
ENSMUSG00000033487	951	976	1457	1532	1483	954	1472	1450
ENSMUSG00000033488	494	518	590	362	437	443	666	789
ENSMUSG00000033491	45	28	1	65	28	19	0	45
ENSMUSG00000033498	0	0	1	0	1	0	0	1
ENSMUSG00000033499	1035	956	1544	1255	1211	1012	1530	1237
ENSMUSG00000033501	0	0	0	0	0	0	0	0
ENSMUSG00000033502	89	122	153	182	187	129	177	188
ENSMUSG00000033508	0	0	4	3	2	3	1	14
ENSMUSG00000033510	7	1	5	10	2	5	0	1
ENSMUSG00000033520	0	0	0	0	0	0	0	0
ENSMUSG00000033526	377	347	451	503	679	304	292	425
ENSMUSG00000033530	128	80	149	80	124	49	61	98
ENSMUSG00000033533	0	0	0	0	0	0	0	0
ENSMUSG00000033538	192	338	554	396	328	276	545	411
ENSMUSG00000033540	1141	2026	3197	1848	1166	1405	3080	2770
ENSMUSG00000033542	48	13	17	8	2	3	14	10
ENSMUSG00000033543	333	387	413	432	457	373	411	377
ENSMUSG00000033544	27	20	8	15	58	15	4	28
ENSMUSG00000033545	270	243	449	451	458	311	337	395
ENSMUSG00000033554	563	512	1113	1215	1154	574	927	846
ENSMUSG00000033557	465	442	332	542	510	425	793	693
ENSMUSG00000033565	54	61	44	66	26	15	47	89
ENSMUSG00000033569	101	76	99	64	153	72	96	202
ENSMUSG00000033576	0	0	0	0	0	0	0	0
ENSMUSG00000033577	1105	651	1078	909	881	727	835	1758
ENSMUSG00000033578	14	0	82	11	28	15	11	38
ENSMUSG00000033579	64	27	84	17	37	66	47	126
ENSMUSG00000033581	114	132	402	261	328	135	323	134
ENSMUSG00000033585	59	149	87	68	24	53	45	223
ENSMUSG00000033589	38	155	48	86	63	36	160	92
ENSMUSG00000033590	4	0	0	17	0	0	0	0
ENSMUSG00000033594	57	51	42	41	36	23	102	49
ENSMUSG00000033595	70	62	176	45	135	98	49	107
ENSMUSG00000033596	736	631	1006	761	1072	670	1079	1054
ENSMUSG00000033597	48	44	121	41	46	24	23	113
ENSMUSG00000033610	121	108	203	140	174	105	120	151
ENSMUSG00000033615	260	340	210	181	240	221	203	826
ENSMUSG00000033618	83	17	4	37	89	8	53	113
ENSMUSG00000033623	173	133	82	301	313	143	293	244
ENSMUSG00000033624	186	133	182	267	245	155	259	241
ENSMUSG00000033628	671	497	1155	1031	1050	703	1432	1020
ENSMUSG00000033629	859	1323	2017	1365	794	997	2283	1872
ENSMUSG00000033632	266	286	572	459	442	176	481	306
ENSMUSG00000033633	6	0	0	0	2	0	0	0
ENSMUSG00000033634	3	0	0	0	0	0	0	11
ENSMUSG00000033644	1	4	40	1	20	2	18	9
ENSMUSG00000033653	685	856	973	1028	1146	711	1461	1029
ENSMUSG00000033658	83	111	182	280	185	97	257	124
ENSMUSG00000033669	20	126	3	76	142	24	96	20
ENSMUSG00000033671	718	683	1014	842	1280	910	1186	884
ENSMUSG00000033676	6	44	1	23	24	12	5	66
ENSMUSG00000033684	402	589	1095	559	291	486	1329	1105
ENSMUSG00000033685	4778	5670	6467	4368	5539	4622	7005	5876
ENSMUSG00000033688	4	8	10	8	6	1	2	3
ENSMUSG00000033697	1195	1084	1057	1758	1784	829	1338	1285
ENSMUSG00000033701	47	30	52	54	42	35	81	53
ENSMUSG00000033703	112	92	49	146	86	79	139	63
ENSMUSG00000033705	3991	4352	5048	6320	6429	4193	5992	3728
ENSMUSG00000033706	646	582	662	933	801	601	695	954
ENSMUSG00000033707	7	0	0	15	0	0	0	1
ENSMUSG00000033712	234	547	501	487	284	255	588	518
ENSMUSG00000033713	5161	4444	7960	7846	6442	4423	7077	7721
ENSMUSG00000033715	0	1	0	0	0	9	0	0
ENSMUSG00000033717	19	18	7	1	17	5	15	45
ENSMUSG00000033720	4396	2717	3308	2669	2878	2276	3621	12248
ENSMUSG00000033721	19	5	36	35	17	13	54	58
ENSMUSG00000033722	1	4	31	2	1	6	2	6
ENSMUSG00000033726	0	0	0	0	0	0	0	0
ENSMUSG00000033728	253	186	308	288	205	155	473	377
ENSMUSG00000033730	3	24	10	17	19	18	2	13
ENSMUSG00000033731	3	3	14	5	10	5	4	4
ENSMUSG00000033732	1820	1556	2691	2252	2524	1769	2946	2431
ENSMUSG00000033735	37	102	70	68	41	47	136	158
ENSMUSG00000033737	0	0	0	0	0	2	0	0
ENSMUSG00000033739	102	127	198	176	98	135	149	178
ENSMUSG00000033740	128	61	142	88	75	44	39	95
ENSMUSG00000033751	10	22	25	20	40	14	41	38
ENSMUSG00000033752	3	0	0	0	4	5	0	5
ENSMUSG00000033760	1081	946	1467	1773	1726	974	1395	1080
ENSMUSG00000033762	2	30	0	38	0	6	0	7
ENSMUSG00000033763	312	279	414	289	162	201	242	636
ENSMUSG00000033765	0	0	0	0	0	0	0	6
ENSMUSG00000033767	221	403	388	483	611	461	636	463
ENSMUSG00000033768	7	11	32	6	5	6	1	26
ENSMUSG00000033769	407	419	692	641	420	484	652	768
ENSMUSG00000033770	0	0	0	0	0	0	0	0
ENSMUSG00000033773	316	280	733	577	351	347	591	539
ENSMUSG00000033774	0	0	0	0	0	0	0	0
ENSMUSG00000033777	3923	3803	6786	6916	5925	4761	7828	6610
ENSMUSG00000033781	524	393	967	579	569	331	699	681
ENSMUSG00000033788	8	4	0	0	16	0	1	0
ENSMUSG00000033790	2989	3118	3915	5030	5467	3073	5174	4208
ENSMUSG00000033792	1336	1409	1539	1970	2026	1360	2093	1687
ENSMUSG00000033793	609	627	1198	756	694	425	862	930
ENSMUSG00000033794	0	0	0	0	0	0	0	0
ENSMUSG00000033799	485	491	835	741	833	539	460	598
ENSMUSG00000033805	0	1	0	2	0	0	0	1
ENSMUSG00000033808	230	239	397	377	496	240	291	288
ENSMUSG00000033809	683	804	1228	1082	1171	660	1466	1234
ENSMUSG00000033813	204	244	472	247	199	248	428	396
ENSMUSG00000033819	41	175	74	76	34	39	102	35
ENSMUSG00000033825	0	0	0	0	0	0	0	0
ENSMUSG00000033826	4	26	5	1	0	5	0	1
ENSMUSG00000033831	0	0	0	0	0	0	0	0
ENSMUSG00000033834	0	0	0	0	0	0	0	0
ENSMUSG00000033837	3	0	35	0	0	0	1	0
ENSMUSG00000033845	409	514	650	628	382	389	669	511
ENSMUSG00000033847	2	20	37	16	5	7	72	14
ENSMUSG00000033849	73	60	93	95	89	36	37	200
ENSMUSG00000033850	0	0	0	0	0	0	0	0
ENSMUSG00000033852	0	0	0	0	0	0	0	0
ENSMUSG00000033854	0	26	0	0	6	1	5	5
ENSMUSG00000033855	70	57	61	23	80	23	29	30
ENSMUSG00000033857	87	103	311	196	146	92	306	119
ENSMUSG00000033860	0	0	0	0	0	0	0	0
ENSMUSG00000033862	291	424	566	347	361	280	492	384
ENSMUSG00000033863	537	376	173	291	359	179	358	680
ENSMUSG00000033871	45	41	50	76	44	36	82	62
ENSMUSG00000033872	0	0	0	0	0	0	6	2
ENSMUSG00000033880	2562	3303	5121	3620	3173	3541	9066	9603
ENSMUSG00000033882	0	0	0	0	0	0	0	0
ENSMUSG00000033883	320	347	518	609	542	326	560	578
ENSMUSG00000033885	544	730	792	928	637	697	1246	877
ENSMUSG00000033898	2	21	3	18	16	1	1	3
ENSMUSG00000033900	82	61	46	49	85	59	76	123
ENSMUSG00000033902	87	95	167	120	127	50	73	89
ENSMUSG00000033904	748	622	688	604	460	437	636	1397
ENSMUSG00000033906	13	17	10	11	9	14	0	3
ENSMUSG00000033909	578	364	1138	917	537	575	1286	868
ENSMUSG00000033910	75	32	17	85	55	42	81	84
ENSMUSG00000033916	1625	1465	2269	2079	1664	1581	2153	2396
ENSMUSG00000033917	64	99	129	130	83	50	130	158
ENSMUSG00000033918	138	373	505	560	252	279	541	435
ENSMUSG00000033931	93	94	169	160	146	146	183	166
ENSMUSG00000033933	467	902	1668	1092	368	786	1776	1521
ENSMUSG00000033938	812	584	971	759	632	506	829	1218
ENSMUSG00000033940	2462	2197	3603	3183	3107	2272	3332	3286
ENSMUSG00000033943	1165	1083	1373	1556	1902	1175	1321	1389
ENSMUSG00000033948	69	50	107	139	78	42	78	123
ENSMUSG00000033949	223	217	343	434	391	245	487	354
ENSMUSG00000033952	17	0	1	19	24	14	19	79
ENSMUSG00000033953	234	168	341	215	269	184	285	332
ENSMUSG00000033955	37	43	100	46	9	51	29	69
ENSMUSG00000033960	778	387	444	672	637	330	154	819
ENSMUSG00000033961	40	41	74	146	90	45	69	97
ENSMUSG00000033963	0	0	0	6	0	0	0	2
ENSMUSG00000033964	158	108	324	198	192	104	184	212
ENSMUSG00000033965	100	61	18	122	64	23	166	101
ENSMUSG00000033966	33	39	1	17	0	17	35	88
ENSMUSG00000033967	19	0	0	0	0	0	0	1
ENSMUSG00000033970	232	194	458	295	314	241	304	298
ENSMUSG00000033972	141	145	381	234	188	167	258	217
ENSMUSG00000033981	129	64	244	241	141	104	79	299
ENSMUSG00000033983	50	22	95	112	66	24	83	63
ENSMUSG00000033985	26	56	107	93	76	56	88	62
ENSMUSG00000033987	27	20	82	84	48	19	113	95
ENSMUSG00000033991	298	236	547	679	603	297	417	404
ENSMUSG00000033998	110	107	108	85	75	66	69	243
ENSMUSG00000034000	25	56	46	48	26	12	1	106
ENSMUSG00000034006	251	78	348	232	163	211	391	331
ENSMUSG00000034007	374	647	798	768	755	503	533	536
ENSMUSG00000034009	26	2	1	11	10	18	0	2
ENSMUSG00000034021	493	529	827	605	832	644	846	679
ENSMUSG00000034022	1020	1651	1993	1465	983	949	1939	1981
ENSMUSG00000034023	29	8	57	73	26	19	80	62
ENSMUSG00000034024	1102	1112	1345	1293	1568	1023	1995	1744
ENSMUSG00000034028	5	0	0	0	5	0	0	0
ENSMUSG00000034031	0	0	0	0	0	0	0	0
ENSMUSG00000034032	407	508	1159	568	437	419	781	585
ENSMUSG00000034035	337	566	375	585	475	308	413	312
ENSMUSG00000034037	65	31	10	15	10	7	0	17
ENSMUSG00000034039	0	0	0	0	0	0	0	0
ENSMUSG00000034040	0	1	1	14	13	4	0	20
ENSMUSG00000034041	38	73	119	63	71	28	121	62
ENSMUSG00000034042	920	933	1645	1338	1467	1113	1538	1172
ENSMUSG00000034055	326	455	165	495	390	310	366	650
ENSMUSG00000034057	0	0	5	1	0	0	10	0
ENSMUSG00000034059	24	42	74	14	37	17	16	46
ENSMUSG00000034063	22	4	13	29	26	5	14	19
ENSMUSG00000034064	1088	796	1124	995	967	844	1282	1355
ENSMUSG00000034066	37	59	54	85	74	52	85	139
ENSMUSG00000034071	48	29	87	69	74	17	70	124
ENSMUSG00000034075	380	291	307	547	367	314	545	446
ENSMUSG00000034083	447	349	558	495	539	397	502	589
ENSMUSG00000034087	0	0	0	0	0	0	0	0
ENSMUSG00000034088	3686	3032	4036	4954	4037	3157	5245	5468
ENSMUSG00000034098	30	7	46	23	6	10	11	32
ENSMUSG00000034101	149	179	170	302	197	163	223	178
ENSMUSG00000034105	147	225	342	352	112	107	220	307
ENSMUSG00000034107	360	549	875	990	652	389	591	395
ENSMUSG00000034108	660	576	1113	1048	877	640	1034	1029
ENSMUSG00000034109	260	276	367	406	402	158	393	303
ENSMUSG00000034110	90	124	170	110	47	99	187	88
ENSMUSG00000034111	53	67	158	161	167	87	131	160
ENSMUSG00000034112	0	0	0	0	0	0	0	9
ENSMUSG00000034115	0	3	28	2	7	0	0	0
ENSMUSG00000034116	3846	4958	6856	5841	5230	4692	7073	5521
ENSMUSG00000034117	0	0	0	0	0	0	0	0
ENSMUSG00000034118	23	41	62	35	61	55	52	41
ENSMUSG00000034120	4912	5131	8543	9172	8043	5686	9056	6343
ENSMUSG00000034121	109	235	387	239	170	114	220	214
ENSMUSG00000034122	1	0	0	0	0	0	0	0
ENSMUSG00000034126	111	427	494	466	224	273	429	404
ENSMUSG00000034127	3	19	40	21	8	6	5	12
ENSMUSG00000034135	197	293	237	401	418	179	256	442
ENSMUSG00000034139	0	0	0	0	0	0	0	0
ENSMUSG00000034145	4	7	34	20	1	10	0	11
ENSMUSG00000034151	0	0	0	3	0	2	0	9
ENSMUSG00000034152	1724	1411	2824	2284	2305	1626	2504	2629
ENSMUSG00000034154	213	254	412	442	366	244	405	224
ENSMUSG00000034156	54	43	150	41	71	100	6	42
ENSMUSG00000034157	621	372	597	798	602	369	706	897
ENSMUSG00000034158	2399	2368	4078	3037	2581	2048	3433	4443
ENSMUSG00000034159	0	0	0	0	0	0	0	0
ENSMUSG00000034160	4898	4555	6868	8062	8471	4748	7015	5301
ENSMUSG00000034161	0	3	0	0	0	4	1	4
ENSMUSG00000034163	931	1005	1176	1564	1508	982	1323	929
ENSMUSG00000034164	0	1	11	0	1	8	0	10
ENSMUSG00000034165	714	680	500	437	1467	517	566	418
ENSMUSG00000034168	81	55	116	131	109	76	188	175
ENSMUSG00000034171	25	0	35	47	6	8	17	80
ENSMUSG00000034173	35	189	129	91	39	104	169	183
ENSMUSG00000034175	111	318	372	272	138	121	373	318
ENSMUSG00000034177	1	0	16	0	3	0	0	17
ENSMUSG00000034185	0	0	0	0	0	0	0	0
ENSMUSG00000034187	1601	1501	1875	2156	2087	1537	2413	2920
ENSMUSG00000034189	474	416	948	637	800	445	810	731
ENSMUSG00000034190	123	260	400	367	217	227	324	314
ENSMUSG00000034192	118	104	212	128	172	99	199	155
ENSMUSG00000034194	329	182	211	182	149	178	371	431
ENSMUSG00000034201	22	39	48	61	24	43	30	26
ENSMUSG00000034203	120	295	228	161	138	144	306	296
ENSMUSG00000034205	5	0	3	0	5	13	0	6
ENSMUSG00000034206	2	1	3	18	11	5	29	36
ENSMUSG00000034209	0	0	0	0	0	6	22	1
ENSMUSG00000034210	977	1448	1928	1741	1416	1276	1943	2105
ENSMUSG00000034211	941	1089	1115	1173	1397	885	1529	1366
ENSMUSG00000034212	0	0	0	0	0	1	0	0
ENSMUSG00000034216	935	976	1330	995	786	1047	2002	1178
ENSMUSG00000034218	319	357	412	620	658	350	495	374
ENSMUSG00000034219	0	0	0	0	0	0	0	0
ENSMUSG00000034220	16	42	31	2	42	22	25	51
ENSMUSG00000034224	0	0	0	0	0	0	0	0
ENSMUSG00000034226	0	0	0	1	0	0	0	0
ENSMUSG00000034227	0	1	1	2	3	0	0	0
ENSMUSG00000034235	421	273	522	293	382	346	320	629
ENSMUSG00000034239	0	0	0	0	0	0	0	0
ENSMUSG00000034243	1196	1218	1221	2084	2330	1430	1604	1500
ENSMUSG00000034245	88	144	205	171	93	66	146	222
ENSMUSG00000034247	310	469	1188	299	235	321	726	522
ENSMUSG00000034248	1106	1129	1829	1930	1671	1256	1897	1527
ENSMUSG00000034252	496	491	558	767	743	639	681	428
ENSMUSG00000034254	126	94	184	171	112	122	109	225
ENSMUSG00000034255	615	720	973	967	492	724	1520	1331
ENSMUSG00000034258	90	8	6	39	34	19	51	53
ENSMUSG00000034259	246	308	400	416	217	197	443	327
ENSMUSG00000034263	881	993	1375	1014	726	828	1596	1247
ENSMUSG00000034265	201	220	253	332	312	245	237	218
ENSMUSG00000034266	78	94	63	108	85	72	223	152
ENSMUSG00000034269	626	806	980	1209	1366	638	1140	720
ENSMUSG00000034271	5	4	2	29	8	2	8	6
ENSMUSG00000034274	398	289	757	625	633	490	565	557
ENSMUSG00000034275	153	36	121	133	100	135	113	267
ENSMUSG00000034278	46	64	63	68	62	39	102	130
ENSMUSG00000034282	0	0	6	0	0	0	0	2
ENSMUSG00000034285	162	196	336	267	213	213	241	308
ENSMUSG00000034290	716	818	1126	1092	871	745	987	888
ENSMUSG00000034292	68	60	116	97	163	70	111	123
ENSMUSG00000034295	17	4	43	15	6	8	2	34
ENSMUSG00000034297	648	529	648	835	1027	650	935	742
ENSMUSG00000034300	155	108	267	258	196	97	218	307
ENSMUSG00000034303	51	136	72	67	71	23	58	34
ENSMUSG00000034308	106	173	272	150	139	148	162	126
ENSMUSG00000034310	0	1	1	1	33	0	12	2
ENSMUSG00000034311	9	0	0	9	15	11	64	21
ENSMUSG00000034312	484	484	571	691	564	392	714	481
ENSMUSG00000034317	7	7	7	4	9	9	32	31
ENSMUSG00000034320	334	371	592	688	690	472	927	638
ENSMUSG00000034321	370	543	787	716	725	399	689	627
ENSMUSG00000034324	0	2	1	2	0	4	0	8
ENSMUSG00000034327	49	30	55	120	89	64	64	75
ENSMUSG00000034329	17	41	81	57	29	23	40	18
ENSMUSG00000034330	1040	1567	2590	1904	1622	1659	2994	2206
ENSMUSG00000034333	33	37	37	59	74	40	91	72
ENSMUSG00000034334	8	1	4	5	21	9	21	1
ENSMUSG00000034336	80	68	53	64	88	84	38	238
ENSMUSG00000034339	0	0	0	0	0	0	0	0
ENSMUSG00000034341	2272	2341	2992	2666	1633	1847	3836	3975
ENSMUSG00000034342	774	814	828	1170	1139	799	1169	854
ENSMUSG00000034343	1014	1033	1677	1787	1417	1047	2036	1703
ENSMUSG00000034345	739	564	791	822	739	561	896	1109
ENSMUSG00000034349	141	174	165	206	263	160	353	225
ENSMUSG00000034353	625	1182	1329	1010	237	615	1393	1921
ENSMUSG00000034354	699	917	674	1268	912	519	640	1165
ENSMUSG00000034359	0	0	0	0	0	0	0	0
ENSMUSG00000034361	30	26	6	26	6	9	40	65
ENSMUSG00000034362	2	0	0	1	0	4	0	7
ENSMUSG00000034371	174	151	408	321	312	135	346	323
ENSMUSG00000034377	1128	973	1353	1102	761	745	938	1393
ENSMUSG00000034379	394	349	427	659	332	283	722	505
ENSMUSG00000034382	0	0	0	0	0	0	1	4
ENSMUSG00000034384	0	0	0	0	0	0	0	0
ENSMUSG00000034387	0	0	0	0	15	1	0	0
ENSMUSG00000034390	265	225	378	465	197	252	439	582
ENSMUSG00000034391	0	0	1	0	0	0	0	0
ENSMUSG00000034394	0	0	0	0	0	0	0	0
ENSMUSG00000034401	43	67	53	69	67	61	39	31
ENSMUSG00000034402	0	0	0	0	1	0	0	0
ENSMUSG00000034403	829	1148	1826	1563	1127	943	1594	1822
ENSMUSG00000034412	117	77	163	138	89	67	228	238
ENSMUSG00000034413	31	12	85	62	6	38	46	9
ENSMUSG00000034416	0	1	5	2	11	13	0	10
ENSMUSG00000034422	721	571	828	669	1053	850	1171	1066
ENSMUSG00000034424	408	494	573	562	114	468	352	940
ENSMUSG00000034427	1	1	13	28	2	35	0	0
ENSMUSG00000034429	167	170	326	217	41	172	263	276
ENSMUSG00000034430	161	299	340	293	329	272	271	300
ENSMUSG00000034432	1274	1323	2270	1628	1683	1420	1691	1789
ENSMUSG00000034435	0	0	0	0	0	0	0	0
ENSMUSG00000034437	153	123	209	135	176	135	175	189
ENSMUSG00000034438	2	1	3	10	16	5	11	7
ENSMUSG00000034442	184	59	146	143	211	174	284	167
ENSMUSG00000034445	3006	3426	6243	4370	4823	3808	8303	6481
ENSMUSG00000034449	71	104	81	108	68	159	224	210
ENSMUSG00000034450	0	0	0	0	0	0	0	0
ENSMUSG00000034452	150	82	10	197	232	107	87	70
ENSMUSG00000034453	414	332	502	465	492	359	591	565
ENSMUSG00000034456	0	0	0	0	0	0	0	0
ENSMUSG00000034457	0	0	0	0	0	0	0	0
ENSMUSG00000034459	265	119	195	213	182	219	487	500
ENSMUSG00000034460	0	0	0	1	0	0	0	7
ENSMUSG00000034462	488	478	414	789	665	495	413	408
ENSMUSG00000034463	9	10	0	0	3	0	3	2
ENSMUSG00000034467	8	8	19	1	3	8	11	17
ENSMUSG00000034471	24	13	6	1	9	22	0	16
ENSMUSG00000034472	4	2	2	0	8	1	6	21
ENSMUSG00000034473	411	333	507	725	418	283	565	630
ENSMUSG00000034480	642	721	1047	970	1060	668	1124	658
ENSMUSG00000034482	0	0	0	0	0	0	0	0
ENSMUSG00000034484	2086	2170	2922	2643	2556	1860	3439	3018
ENSMUSG00000034485	26	4	1	45	18	10	5	49
ENSMUSG00000034486	0	0	0	0	0	0	0	0
ENSMUSG00000034487	144	223	271	239	242	217	253	170
ENSMUSG00000034488	92	99	116	79	50	70	14	188
ENSMUSG00000034493	1	0	3	0	0	0	1	0
ENSMUSG00000034501	148	56	101	226	235	76	233	232
ENSMUSG00000034509	322	250	446	426	438	249	585	461
ENSMUSG00000034518	562	428	836	809	736	543	777	655
ENSMUSG00000034520	10	8	12	3	8	1	0	5
ENSMUSG00000034522	95	81	186	135	100	51	93	169
ENSMUSG00000034525	412	400	515	643	429	421	815	597
ENSMUSG00000034528	0	0	0	0	5	0	0	0
ENSMUSG00000034532	9	7	0	2	0	2	0	5
ENSMUSG00000034533	0	0	0	0	0	0	0	0
ENSMUSG00000034538	63	51	106	23	88	90	85	95
ENSMUSG00000034543	499	496	689	1065	570	343	627	626
ENSMUSG00000034544	549	515	939	822	834	543	834	910
ENSMUSG00000034551	15	15	16	0	16	0	0	3
ENSMUSG00000034552	0	0	0	0	0	0	0	0
ENSMUSG00000034555	0	0	0	0	1	0	0	0
ENSMUSG00000034557	168	182	432	410	291	200	330	293
ENSMUSG00000034560	2024	2100	2855	3014	2592	2366	2932	2514
ENSMUSG00000034563	150	85	176	247	169	106	302	167
ENSMUSG00000034566	1128	949	1236	1232	1238	850	1305	1862
ENSMUSG00000034570	2	7	10	2	4	1	1	32
ENSMUSG00000034573	157	60	156	191	55	80	17	90
ENSMUSG00000034574	163	180	186	162	203	152	248	292
ENSMUSG00000034575	155	121	362	250	231	110	133	316
ENSMUSG00000034579	33	0	7	39	26	1	0	15
ENSMUSG00000034583	1	0	0	0	0	0	0	0
ENSMUSG00000034584	7	0	29	7	0	0	0	3
ENSMUSG00000034586	43	100	89	16	63	44	41	178
ENSMUSG00000034587	64	42	61	135	115	45	82	116
ENSMUSG00000034591	3	0	28	0	13	0	0	2
ENSMUSG00000034593	361	480	826	668	747	490	531	634
ENSMUSG00000034595	583	529	1298	820	653	619	777	879
ENSMUSG00000034601	444	516	742	740	846	555	654	385
ENSMUSG00000034602	654	793	947	1059	991	893	1165	928
ENSMUSG00000034607	0	0	0	0	0	0	0	0
ENSMUSG00000034610	422	377	755	975	689	542	638	478
ENSMUSG00000034612	236	291	596	338	372	311	532	451
ENSMUSG00000034613	4279	4024	6500	7676	7134	4860	8785	8144
ENSMUSG00000034614	16	14	90	12	47	9	19	67
ENSMUSG00000034616	328	483	502	743	388	332	702	705
ENSMUSG00000034617	303	395	618	470	421	399	672	551
ENSMUSG00000034620	30	100	47	83	52	72	147	139
ENSMUSG00000034621	1424	1622	2026	1884	2062	1591	2468	1954
ENSMUSG00000034623	0	0	0	0	0	0	0	0
ENSMUSG00000034634	5	39	8	48	66	9	100	31
ENSMUSG00000034636	630	568	823	760	922	710	1013	763
ENSMUSG00000034639	26	50	19	56	16	44	9	36
ENSMUSG00000034640	116	95	256	222	167	170	247	138
ENSMUSG00000034641	44	106	39	45	57	27	118	38
ENSMUSG00000034645	0	0	0	0	0	0	0	0
ENSMUSG00000034647	590	632	764	699	785	520	710	704
ENSMUSG00000034648	45	19	3	50	9	44	2	87
ENSMUSG00000034652	2159	2067	4132	3377	2787	2386	3371	2789
ENSMUSG00000034653	78	109	188	184	126	107	220	177
ENSMUSG00000034656	114	78	131	154	203	82	63	110
ENSMUSG00000034659	2230	2131	4266	3559	2531	2648	4595	3821
ENSMUSG00000034660	0	0	0	0	0	0	0	0
ENSMUSG00000034663	6538	6971	12013	10512	9995	7375	12269	9298
ENSMUSG00000034664	3	28	39	2	1	2	4	10
ENSMUSG00000034667	611	600	1519	999	729	646	912	993
ENSMUSG00000034673	138	131	193	103	90	109	192	188
ENSMUSG00000034674	71	59	50	113	81	61	87	110
ENSMUSG00000034675	39	30	52	30	7	17	52	14
ENSMUSG00000034677	0	0	0	0	0	0	0	0
ENSMUSG00000034681	506	655	1051	788	574	616	925	894
ENSMUSG00000034683	0	0	0	0	0	0	0	1
ENSMUSG00000034684	1	0	0	1	0	0	0	2
ENSMUSG00000034685	0	0	1	0	0	1	0	7
ENSMUSG00000034686	0	0	0	0	0	0	0	0
ENSMUSG00000034687	1	0	0	0	0	0	0	7
ENSMUSG00000034689	0	0	0	0	0	0	0	1
ENSMUSG00000034690	0	0	0	0	0	0	0	0
ENSMUSG00000034701	12	0	0	0	1	0	0	0
ENSMUSG00000034706	8	3	4	8	7	4	0	21
ENSMUSG00000034707	4627	5154	7183	6803	6963	5984	8049	6844
ENSMUSG00000034708	26699	25508	39695	38470	36838	32142	62683	52924
ENSMUSG00000034709	1811	2223	1918	1506	2464	1677	2060	1704
ENSMUSG00000034714	1294	1058	1862	1251	1087	955	1379	1705
ENSMUSG00000034723	598	717	1272	1022	870	675	1130	933
ENSMUSG00000034724	459	411	495	654	641	540	633	599
ENSMUSG00000034729	244	307	458	465	259	334	467	536
ENSMUSG00000034730	31	23	19	9	4	15	6	27
ENSMUSG00000034731	82	102	178	176	145	190	143	118
ENSMUSG00000034732	0	0	0	0	0	0	0	0
ENSMUSG00000034738	57	101	20	30	58	29	45	46
ENSMUSG00000034739	5	0	0	15	0	0	6	0
ENSMUSG00000034744	727	810	1029	1333	1036	844	1280	1175
ENSMUSG00000034748	279	363	580	514	421	306	580	592
ENSMUSG00000034751	678	486	930	1755	1285	399	864	974
ENSMUSG00000034755	24	32	34	43	33	63	33	97
ENSMUSG00000034757	1316	1457	2557	2077	1630	1287	2881	2426
ENSMUSG00000034758	48	42	56	125	0	22	51	113
ENSMUSG00000034761	194	340	328	378	479	299	423	248
ENSMUSG00000034762	0	0	1	2	0	0	0	0
ENSMUSG00000034764	0	0	0	0	0	0	0	0
ENSMUSG00000034765	0	0	4	0	0	1	9	2
ENSMUSG00000034768	1	0	0	0	12	2	1	5
ENSMUSG00000034771	19	40	35	26	76	35	15	47
ENSMUSG00000034773	26	0	13	19	8	7	1	20
ENSMUSG00000034774	0	0	0	0	0	0	0	0
ENSMUSG00000034777	0	0	0	0	0	0	0	6
ENSMUSG00000034780	138	97	215	109	104	114	73	224
ENSMUSG00000034781	1117	1034	1741	1441	755	804	2197	1762
ENSMUSG00000034783	0	0	0	0	0	0	0	0
ENSMUSG00000034785	7	0	0	0	0	6	0	0
ENSMUSG00000034786	210	202	357	234	148	197	309	214
ENSMUSG00000034789	67	63	40	89	103	59	60	64
ENSMUSG00000034792	1310	1990	3252	1464	461	1525	2391	1446
ENSMUSG00000034793	1212	1077	2110	2407	1418	1261	1758	1908
ENSMUSG00000034795	6	3	47	68	27	11	32	11
ENSMUSG00000034796	4	32	58	9	9	4	0	5
ENSMUSG00000034799	178	272	310	368	377	215	264	331
ENSMUSG00000034800	148	114	152	330	194	248	266	208
ENSMUSG00000034801	440	279	414	420	534	328	473	364
ENSMUSG00000034807	644	594	1194	1028	731	855	1287	928
