SNL27	SNL45	SHAM24	SHAM35
11:102276302-102276856|Asb16|P	63	94	71	114
11:102285298-102285906|Tmub2|P	54	83	28	56
11:102292819-102293118|Atxn7l3|P	37	29	32	26
11:102294084-102294688|Atxn7l3|P	35	52	67	23
11:102294797-102295256|Atxn7l3|P	29	44	47	46
11:102295878-102296149|Atxn7l3|P	14	41	34	31
11:102297615-102298327|Atxn7l3|P	65	93	56	48
11:102308645-102309015|Ubtf|P	27	36	51	36
11:102309398-102311342|Ubtf|P	186	266	226	236
11:102316318-102316713|Ubtf|P	78	68	68	42
11:102320408-102320973|Ubtf|P	85	67	62	32
11:102393284-102394919|Rundc3a|P	96	274	161	148
11:102399431-102400142|Rundc3a|P	71	88	112	106
11:102400481-102400817|Rundc3a|P	12	45	0	49
11:102405727-102407010|Slc25a39|P	122	143	145	112
11:102411488-102411792|Slc25a39|P	21	21	22	30
11:102428336-102429041|Grn|P	49	63	49	56
11:102432558-102435271|Grn|P	340	511	398	290
11:102437083-102438869|Fam171a2|P	205	325	178	219
11:102445845-102447814|Fam171a2|P	132	201	161	173
11:102453335-102453609|Itga2b|P	15	42	29	10
11:102455410-102456483|Itga2b|P	110	201	159	150
11:102467410-102468002|Itga2b|P	61	100	71	35
11:102469389-102470377|Itga2b|P	53	88	66	56
11:102476257-102476564|Itga2b|P	24	37	22	17
11:102477499-102478913|Itga2b|P	114	211	107	122
11:102545570-102546262|Gpatch8|P	44	61	33	70
11:102578833-102579323|Gm11627|P	44	34	29	51
11:102604406-102605630|Fzd2|P	129	218	195	148
11:102605778-102606446|Fzd2|P	67	112	118	99
11:102665336-102666415|Meioc|P	66	142	112	103
11:102696242-102697371|Ccdc43|P	51	97	90	67
11:102739200-102739912|Adam11|P	33	60	47	52
11:102753005-102754565|Adam11|P	156	221	122	155
11:102761553-102762555|Adam11|P	96	145	113	122
11:102774254-102775121|Adam11|P	93	79	100	108
11:102818505-102819736|Gjc1|P	113	259	138	50
11:102879469-102879806|Eftud2|P	10	13	32	29
11:102880080-102880532|Eftud2|P	35	38	46	41
11:102881489-102881817|Ccdc103|P	42	38	27	29
11:102893090-102893668|Gfap|P	49	113	82	65
11:102924530-102925080|Kif18b|P	49	95	61	26
11:102945734-102947176|C1ql1|P	169	270	148	192
11:102947964-102948930|C1ql1|P	98	141	73	86
11:102963319-102963947|2410004I01Rik|P	39	82	49	50
11:102989614-102990443|Dcakd|P	25	84	74	50
11:103000093-103000446|Mir6931|P	28	39	50	33
11:103002284-103002594|Mir6931|P	30	37	16	16
11:103002841-103003749|Mir6931|P	41	107	92	68
11:103004800-103007009|Mir6931|P	228	274	136	124
11:103007506-103009018|Mir6931|P	140	153	116	113
11:103015412-103016373|Dcakd|P	73	111	107	68
11:103021111-103021561|Dcakd|P	39	51	25	50
11:103022058-103022860|Dcakd|P	48	52	55	28
11:103024091-103025863|Nmt1|P	89	195	132	77
11:103026213-103026928|Nmt1|P	59	90	19	27
11:103030627-103031409|Nmt1|P	79	90	95	71
11:103031946-103034165|Nmt1|P	232	263	209	138
11:103034705-103036528|Nmt1|P	154	248	159	119
11:103036871-103039803|Nmt1|P	243	283	204	151
11:103041039-103041492|Nmt1|P	27	55	54	21
11:103041894-103043064|Nmt1|P	112	111	105	79
11:103048724-103051026|Nmt1|P	124	202	178	66
11:103051942-103053026|Plcd3|P	80	154	95	109
11:103053429-103053880|Plcd3|P	20	75	42	42
11:103080166-103081037|Plcd3|P	113	142	124	109
11:103094179-103094750|Plcd3|P	30	51	45	11
11:103101253-103101777|Acbd4|P	17	118	64	49
11:103101989-103102573|Acbd4|P	53	49	84	22
11:103103110-103103728|Acbd4|P	93	88	79	63
11:103111446-103112896|Hexim1|P	82	170	115	133
11:103114883-103115377|Hexim1|P	0	40	56	35
11:103117083-103118025|Hexim1|P	48	128	90	53
11:103140541-103142491|Hexim2|P	205	194	181	236
11:103142617-103143240|Hexim2|P	69	98	100	58
11:103144128-103144548|Hexim2|P	48	47	26	34
11:103144701-103145529|Hexim2|P	36	102	60	78
11:103146535-103147978|Hexim2|P	131	189	108	85
11:103150709-103151512|Hexim2|P	52	115	34	62
11:103158570-103159113|Fmnl1|P	25	51	43	77
11:103170062-103170894|Fmnl1|P	58	89	70	69
11:103172371-103175475|Fmnl1|P	416	492	399	336
11:103175697-103180285|Fmnl1|P	507	725	400	395
11:103191948-103192295|Fmnl1|P	0	45	61	51
11:103192540-103192855|Fmnl1|P	12	32	39	20
11:103196456-103197218|Fmnl1|P	97	115	55	97
11:103197484-103198365|Fmnl1|P	28	119	19	72
11:103199016-103199739|Fmnl1|P	28	60	38	72
11:103201193-103201823|Fmnl1|P	41	47	70	60
11:103217819-103218794|Spata32|P	55	102	111	89
11:103220872-103221655|Map3k14|P	76	57	49	50
11:103223644-103224628|Map3k14|P	98	222	134	90
11:103224872-103225660|Map3k14|P	96	182	87	69
11:103232802-103233102|Map3k14|P	37	52	28	21
11:103240809-103241328|Map3k14|P	34	35	31	14
11:103244197-103245449|Map3k14|P	132	108	116	100
11:103245880-103249534|Map3k14|P	483	587	401	345
11:103249773-103250564|Map3k14|P	105	126	53	101
11:103252110-103254110|Map3k14|P	194	277	167	116
11:103256196-103258306|Map3k14|P	184	334	169	149
11:103258525-103261390|Map3k14|P	313	437	264	226
11:103261666-103262689|Map3k14|P	134	212	129	81
11:103263002-103263992|Map3k14|P	109	129	124	49
11:103264334-103264860|Map3k14|P	91	132	58	38
11:103265767-103266701|Map3k14|P	91	113	90	55
11:103267960-103268256|Map3k14|P	39	36	14	30
11:103268451-103269250|Map3k14|P	88	138	82	62
11:103281498-103282947|Map3k14|P	106	211	105	76
11:103288016-103289007|Map3k14|P	102	120	73	68
11:103306396-103306908|Arhgap27|P	38	83	34	26
11:103308604-103309061|Arhgap27|P	39	47	24	12
11:103309363-103310271|Arhgap27|P	57	97	86	65
11:103310446-103310705|Arhgap27|P	27	19	36	37
11:103311961-103312381|Arhgap27|P	44	69	61	57
11:103315121-103316027|Arhgap27|P	41	106	49	45
11:103331273-103332507|Arhgap27|P	103	148	95	70
11:103332914-103333978|Arhgap27|P	105	105	129	132
11:103341781-103343794|Arhgap27|P	134	282	189	180
11:103344742-103348087|Arhgap27os3|P	250	452	256	202
11:103358951-103361446|Arhgap27|P	229	465	338	194
11:103361924-103363235|Arhgap27|P	153	184	145	138
11:103363621-103365053|Arhgap27|P	107	206	119	91
11:103369833-103372956|Arhgap27|P	323	416	268	286
11:103373470-103375861|Arhgap27|P	250	352	219	198
11:103380943-103382043|Plekhm1|P	48	98	104	67
11:103382153-103384562|Plekhm1|P	240	323	249	221
11:103408919-103409304|Plekhm1|P	27	42	9	32
11:103410908-103411494|Plekhm1|P	44	34	60	40
11:103470467-103471011|Plekhm1|P	28	65	31	23
11:103649158-103650433|Rprml|P	121	179	195	191
11:103684622-103685737|Gosr2|P	96	133	114	81
11:103685990-103687287|Gosr2|P	125	202	99	53
11:103687733-103688092|Gosr2|P	39	34	14	18
11:103688345-103690861|Gosr2|P	166	287	227	159
11:103695431-103696045|Gosr2|P	46	40	50	35
11:103749070-103750195|Wnt9b|P	118	199	148	123
11:103772594-103774730|Wnt3|P	129	263	202	200
11:103809545-103809879|Nsf|P	20	26	24	22
11:103810138-103810511|Nsf|P	26	78	46	42
11:103952611-103953431|Nsf|P	29	87	60	39
11:103967089-103967927|Arf2|P	56	65	24	54
11:103970861-103971571|Arf2|P	34	65	31	24
11:103973063-103973644|Arf2|P	29	42	23	21
11:103979205-103981365|Arf2|P	160	238	203	126
11:103981489-103984110|Arf2|P	225	347	202	169
11:103984360-103984959|Arf2|P	84	85	49	51
11:103985320-103986480|Arf2|P	126	137	109	87
11:103992240-103992602|Arf2|P	26	41	43	37
11:104000369-104001160|Arf2|P	52	110	41	54
11:104132475-104133164|Crhr1|P	55	76	72	44
11:104157793-104158567|Crhr1|P	0	35	54	72
11:104231528-104233258|Mapt|P	92	239	134	133
11:104233834-104234427|Mapt|P	48	44	44	20
11:104251295-104251570|Mapt|P	32	7	29	12
11:104251725-104252410|Mapt|P	36	81	42	55
11:104254454-104254801|Mapt|P	32	26	36	8
11:104261356-104261958|Mapt|P	50	18	26	59
11:104278336-104278873|Mapt|P	32	69	53	52
11:104288871-104289286|Mapt|P	26	53	42	33
11:104289496-104289995|Mapt|P	61	67	57	62
11:104318930-104320144|Mapt|P	112	151	129	115
11:104368062-104368542|Kansl1|P	36	60	22	18
11:104423876-104424756|Kansl1|P	96	119	65	22
11:104426168-104427274|Kansl1|P	56	105	53	28
11:104432532-104432837|Kansl1|P	34	20	23	20
11:104434074-104435355|Kansl1|P	90	65	65	54
11:104437793-104438213|Kansl1|P	34	27	34	20
11:104468572-104468999|Kansl1|P	20	60	50	47
11:104469656-104470064|Kansl1|P	34	49	26	20
11:104544829-104545734|Cdc27|P	49	86	123	89
11:104545995-104547031|Cdc27|P	37	92	54	44
11:104571439-104571707|Myl4|P	21	31	26	33
11:104595974-104597640|Itgb3|P	103	157	114	109
11:104599134-104599908|Itgb3|P	31	75	41	61
11:104608329-104608954|Itgb3|P	50	51	35	58
11:104609666-104610751|Itgb3|P	140	102	82	63
11:104611641-104612028|Itgb3|P	27	52	21	16
11:104613548-104614348|Itgb3|P	79	57	36	72
11:104618329-104618818|Itgb3|P	29	78	33	23
11:104619281-104620941|Itgb3|P	183	180	91	96
11:104622081-104624297|Itgb3|P	154	273	222	138
11:104624608-104625504|Itgb3|P	99	109	51	65
11:104626074-104626517|Itgb3|P	3	38	32	15
11:104628729-104629049|Itgb3|P	36	30	13	15
11:104629934-104631144|Itgb3|P	77	147	95	63
11:104637005-104637641|Itgb3|P	70	80	49	35
11:104637875-104638328|Itgb3|P	32	68	37	15
11:104643658-104644104|Itgb3|P	41	67	30	50
11:104645322-104645726|Itgb3|P	44	52	22	10
11:104646157-104648012|Itgb3|P	229	247	222	171
11:105126599-105127550|Mettl2|P	112	129	87	65
11:105180563-105181073|Tlk2|P	26	94	56	52
11:105182860-105183305|Tlk2|P	35	56	39	20
11:105291731-105293499|Mrc2|P	137	292	258	168
11:105294006-105294469|Mrc2|P	29	42	45	11
11:105311329-105314270|Mrc2|P	244	385	241	266
11:105364108-105365922|Marchf10|P	140	202	136	149
11:105366089-105366594|Marchf10|P	50	65	52	70
11:105368139-105369066|Marchf10|P	79	77	39	0
11:105369354-105369984|Marchf10|P	40	59	21	24
11:105373625-105374301|Marchf10|P	63	44	16	36
11:105420326-105422320|Marchf10|P	131	227	127	87
11:105439863-105440325|Marchf10|P	23	32	40	29
11:105442664-105443915|Marchf10|P	94	153	93	78
11:105444446-105444742|Marchf10|P	40	31	40	17
11:105445719-105446065|Marchf10|P	26	33	29	24
11:105446936-105447838|Marchf10|P	83	91	81	32
11:105448115-105449387|Marchf10|P	117	189	114	99
11:105456425-105456971|Marchf10|P	66	140	111	67
11:105457557-105457900|Marchf10|P	43	21	31	0
11:105459527-105460433|Marchf10|P	62	94	76	47
11:105463752-105465332|Marchf10|P	130	161	125	89
11:105465585-105466893|Marchf10|P	112	155	107	98
11:105467277-105467836|Marchf10|P	74	65	58	35
11:105468021-105468641|Marchf10|P	22	46	37	11
11:105468793-105470243|Marchf10|P	131	162	136	128
11:105470840-105471331|Marchf10|P	50	63	37	37
11:105474703-105475377|Marchf10|P	95	117	99	61
11:105482610-105483058|Marchf10|P	39	54	38	18
11:105484462-105484841|Marchf10|P	28	29	24	10
11:105486428-105486961|Marchf10|P	46	62	62	35
11:105496599-105497252|Marchf10|P	39	87	71	54
11:105497570-105498542|Marchf10|P	81	91	56	47
11:105500322-105500987|Marchf10|P	19	51	78	18
11:105501814-105502254|Marchf10|P	48	95	43	34
11:105503369-105507204|Marchf10|P	230	432	262	201
11:105510495-105510942|Marchf10|P	15	39	18	43
11:105525581-105525979|Tanc2|P	17	75	38	37
11:105561711-105562464|Tanc2|P	6	76	43	38
11:105567129-105567864|Tanc2|P	57	70	53	41
11:105595443-105595804|Tanc2|P	34	30	38	46
11:105600685-105601110|Tanc2|P	13	45	46	21
11:105602383-105603089|Tanc2|P	45	51	33	29
11:105603607-105604432|Tanc2|P	46	79	27	43
11:105605589-105605899|Tanc2|P	14	29	35	30
11:105617795-105618811|Tanc2|P	107	85	92	89
11:105623861-105624243|Tanc2|P	45	49	36	31
11:105624431-105624825|Tanc2|P	21	48	45	29
11:105659663-105660491|Tanc2|P	65	84	24	4
11:105700324-105700916|Tanc2|P	21	39	50	31
11:105743928-105744528|Tanc2|P	48	53	44	28
11:105755897-105756352|Tanc2|P	23	30	48	41
11:105943496-105944584|Cyb561|P	136	196	197	114
11:105959347-105959718|Cyb561|P	30	30	33	36
11:105967438-105968609|Ace|P	111	214	158	160
11:106007938-106008347|Kcnh6|P	53	97	26	52
11:106019991-106020873|Kcnh6|P	77	151	122	48
11:106033737-106034385|Dcaf7|P	57	117	58	40
11:106037997-106038694|Dcaf7|P	33	58	67	45
11:106039360-106039962|Dcaf7|P	59	58	27	24
11:106044690-106045490|Dcaf7|P	43	56	41	23
11:106045974-106046389|Dcaf7|P	33	35	44	31
11:106067112-106067784|Taco1|P	47	69	48	44
11:106082253-106082800|Map3k3|P	62	49	22	35
11:106102629-106103130|Map3k3|P	43	44	38	18
11:106103366-106104168|Map3k3|P	72	82	59	73
11:106105710-106106379|Map3k3|P	64	101	55	60
11:106110707-106111203|Map3k3|P	29	53	8	17
11:106121703-106122470|Map3k3|P	52	102	53	15
11:106123299-106124622|Map3k3|P	99	145	87	94
11:106134706-106135226|Map3k3|P	41	70	65	40
11:106153918-106154402|Map3k3|P	64	85	38	18
11:106154748-106155477|Map3k3|P	88	46	93	87
11:106155780-106158966|Limd2|P	244	492	353	277
11:106160615-106161667|Limd2|P	119	162	119	81
11:106172640-106173287|Limd2|P	42	72	67	40
11:106173600-106174069|Limd2|P	60	102	56	45
11:106179616-106180611|Strada|P	111	162	90	99
11:106180854-106181575|Strada|P	24	101	33	37
11:106185228-106185622|Strada|P	38	42	23	14
11:106190336-106190779|Strada|P	24	50	4	35
11:106191114-106192959|Strada|P	71	137	109	95
11:106214922-106215692|Ccdc47|P	76	65	58	59
11:106217809-106219021|Ddx42|P	77	86	82	69
11:106223941-106224271|Ddx42|P	29	39	23	23
11:106241579-106241978|Ddx42|P	34	23	7	27
11:106254739-106255504|Ftsj3|P	101	103	98	88
11:106256869-106257994|Psmc5|P	89	82	95	50
11:106267331-106268612|Smarcd2|P	73	124	94	94
11:106269134-106269534|Smarcd2|P	44	33	13	25
11:106270132-106270503|Smarcd2|P	30	18	50	38
11:106271235-106271845|Smarcd2|P	76	98	97	100
11:106275998-106276448|Tcam1|P	35	62	33	30
11:106306026-106306730|Gh|P	46	89	53	6
11:106313403-106313815|Cd79b|P	0	39	33	6
11:106318412-106319953|Cd79b|P	130	168	132	72
11:106328982-106329575|Cd79b|P	63	64	32	22
11:106341169-106341614|Scn4a|P	45	41	33	35
11:106355011-106356157|Scn4a|P	110	147	127	100
11:106364709-106365268|Prr29|P	34	65	60	50
11:106387631-106388331|Icam2|P	35	89	20	54
11:106408082-106408969|Icam2|P	69	81	50	43
11:106409801-106410261|Icam2|P	65	82	58	37
11:106418841-106419697|Icam2|P	70	130	71	31
11:106420147-106420687|Icam2|P	44	64	71	50
11:106471121-106472166|Ern1|P	71	108	74	50
11:106477930-106478245|Ern1|P	23	28	2	37
11:106488106-106488508|Ern1|P	22	55	49	41
11:106498423-106499478|Snord104|P	116	136	60	79
11:106501438-106501835|Snord104|P	13	53	38	13
11:106541880-106542715|Tex2|P	25	73	32	71
11:106555786-106556415|Tex2|P	30	77	37	55
11:106560058-106560430|Tex2|P	22	22	32	44
11:106560500-106561285|Tex2|P	55	83	56	42
11:106562128-106563289|Tex2|P	80	97	69	70
11:106569388-106569906|Tex2|P	31	22	47	40
11:106571568-106573014|Tex2|P	61	98	170	98
11:106573221-106573556|Tex2|P	8	42	24	31
11:106579337-106579757|Tex2|P	19	52	45	29
11:106584186-106586137|Tex2|P	123	222	173	127
11:106606081-106606459|Tex2|P	49	16	22	37
11:106611043-106611851|Tex2|P	83	94	63	70
11:106619365-106620023|Tex2|P	31	73	46	32
11:106622825-106623131|Tex2|P	46	34	18	34
11:106623924-106624949|Tex2|P	82	123	43	19
11:106656911-106658840|Pecam1|P	188	327	176	183
11:106659151-106661648|Pecam1|P	190	300	184	151
11:106663735-106664382|Pecam1|P	60	80	75	56
11:106669168-106670099|Pecam1|P	67	131	59	83
11:106672786-106675984|Pecam1|P	339	433	371	283
11:106679336-106680295|Pecam1|P	83	88	39	68
11:106681201-106681953|Pecam1|P	29	95	52	39
11:106686904-106687621|Pecam1|P	48	85	73	16
11:106701212-106702130|Pecam1|P	105	132	71	45
11:106715408-106715836|Pecam1|P	29	37	63	19
11:106736017-106736517|Pecam1|P	16	53	42	24
11:106751105-106751509|Milr1|P	45	43	20	20
11:106752176-106754390|Milr1|P	143	214	94	55
11:106757399-106758564|Milr1|P	125	140	87	75
11:106759320-106760287|Milr1|P	92	97	86	55
11:106760555-106762176|Milr1|P	214	298	203	167
11:106762729-106763467|Milr1|P	50	94	73	60
11:106763751-106764024|Milr1|P	19	39	26	36
11:106764508-106765661|Polg2|P	93	139	100	69
11:106814913-106815532|Cep95|P	69	42	63	17
11:106817908-106818731|Cep95|P	44	106	71	54
11:106818932-106820086|Cep95|P	127	148	107	87
11:106820321-106821716|Cep95|P	137	185	130	136
11:106885031-106885684|Smurf2|P	54	56	53	51
11:106918709-106919213|Smurf2|P	33	31	44	20
11:106920954-106921314|Smurf2|P	25	47	48	15
11:106957146-106958175|Kpna2|P	100	117	55	49
11:106960877-106962090|Kpna2|P	76	129	61	45
11:106994628-106995139|Kpna2|P	52	46	26	46
11:106998138-106998992|Kpna2|P	73	74	81	55
11:107014635-107014957|1810010H24Rik|P	35	32	23	21
11:107025438-107026358|1810010H24Rik|P	58	58	86	95
11:107028496-107029357|1810010H24Rik|P	65	65	42	21
11:107047056-107047392|Bptf|P	42	35	19	11
11:107069531-107070914|Bptf|P	57	140	78	79
11:107101392-107104124|Bptf|P	270	328	238	221
11:107106438-107106796|Bptf|P	13	34	23	35
11:107107315-107107864|Bptf|P	57	81	30	46
11:107115251-107115992|Bptf|P	24	52	65	29
11:107123695-107125287|Bptf|P	136	215	138	151
11:107126548-107126900|Bptf|P	5	35	23	38
11:107132347-107132857|Bptf|P	34	67	60	45
11:107140759-107141556|Bptf|P	54	101	60	53
11:107148317-107148750|Gm11715|P	6	47	48	32
11:107149187-107150435|Gm11715|P	59	155	119	35
11:107188206-107188532|Nol11|P	32	31	33	22
11:107225923-107226756|Nol11|P	66	81	91	27
11:107228139-107230046|Nol11|P	123	242	112	119
11:107234270-107235496|Nol11|P	110	127	88	77
11:107235770-107236317|Nol11|P	46	61	34	49
11:107240876-107241398|Nol11|P	32	63	38	44
11:107241790-107242671|Nol11|P	67	112	65	69
11:107243082-107243707|Nol11|P	57	107	45	52
11:107244499-107244813|Nol11|P	40	16	30	15
11:107248549-107249404|Nol11|P	37	141	68	55
11:107249631-107250106|Nol11|P	10	40	29	50
11:107263502-107263906|Pitpnc1|P	22	58	44	13
11:107301983-107302500|Pitpnc1|P	39	35	50	48
11:107310704-107311042|Pitpnc1|P	19	29	15	35
11:107317572-107317924|Pitpnc1|P	24	36	22	24
11:107318191-107318730|Pitpnc1|P	33	43	39	27
11:107319085-107319964|Pitpnc1|P	53	89	30	63
11:107323243-107324062|Pitpnc1|P	77	93	60	42
11:107325895-107326510|Pitpnc1|P	53	62	53	41
11:107326993-107328335|Pitpnc1|P	111	167	97	91
11:107338864-107340442|Pitpnc1|P	166	185	126	111
11:107341267-107341874|Pitpnc1|P	106	128	57	74
11:107354672-107355152|Pitpnc1|P	51	56	35	33
11:107386946-107387222|Pitpnc1|P	29	59	21	34
11:107410261-107410628|Pitpnc1|P	37	55	34	2
11:107410924-107411805|Pitpnc1|P	77	72	35	23
11:107414841-107415567|Pitpnc1|P	39	67	40	55
11:107416467-107416790|Pitpnc1|P	39	21	35	23
11:107416974-107417988|Pitpnc1|P	50	115	76	46
11:107445334-107445857|Pitpnc1|P	13	40	37	42
11:107446858-107447278|Pitpnc1|P	26	63	51	35
11:107451303-107451843|Pitpnc1|P	58	78	51	33
11:107464157-107464426|Pitpnc1|P	4	38	27	31
11:107468181-107468765|Pitpnc1|P	55	84	54	55
11:107481072-107481516|Psmd12|P	43	51	39	20
11:107509639-107511338|Psmd12|P	144	169	164	94
11:107528732-107529849|Helz|P	90	104	63	54
11:107546716-107547386|Helz|P	83	66	84	53
11:107548260-107548775|Helz|P	57	46	75	71
11:107572912-107574242|Helz|P	71	133	126	102
11:107594868-107595103|Helz|P	29	22	20	29
11:107624634-107624982|Helz|P	64	23	36	21
11:107675313-107675919|Helz|P	87	87	78	67
11:107730806-107731657|Cacng4|P	37	64	72	93
11:107731680-107732171|Cacng4|P	29	57	32	39
11:107793178-107794430|Cacng4|P	108	131	124	142
11:107914799-107915292|Cacng5|P	38	54	51	40
11:108010014-108010466|Prkca|P	26	36	53	33
11:108010987-108011599|Prkca|P	56	72	47	53
11:108032073-108033337|Prkca|P	72	109	80	78
11:108041451-108041996|Prkca|P	55	55	19	24
11:108098205-108098638|Prkca|P	15	39	25	8
11:108098726-108099273|Prkca|P	50	27	39	17
11:108102147-108102674|Prkca|P	58	18	43	29
11:108103812-108104941|Prkca|P	115	166	96	133
11:108156527-108157382|Prkca|P	55	101	80	55
11:108197038-108197467|Apoh|P	43	51	19	34
11:108214423-108215123|Apoh|P	33	73	26	22
11:108220014-108222287|Apoh|P	206	261	201	148
11:108223368-108225988|Apoh|P	290	427	274	252
11:108229363-108230075|Apoh|P	67	54	71	51
11:108235089-108236638|Apoh|P	133	138	137	105
11:108237091-108239318|Apoh|P	170	188	190	149
11:108242243-108244923|Apoh|P	245	410	246	177
11:108245851-108248501|Apoh|P	148	195	214	126
11:108248944-108251006|Apoh|P	166	189	103	68
11:108252132-108252920|Apoh|P	57	60	36	43
11:108259061-108260404|Apoh|P	97	144	88	95
11:108261568-108262144|Apoh|P	50	56	37	22
11:108263418-108263986|Apoh|P	42	56	49	48
11:108277111-108277511|Apoh|P	36	31	36	8
11:108307289-108307777|Apoh|P	33	50	34	51
11:108311210-108311559|Apoh|P	25	44	49	17
11:108314421-108314984|Apoh|P	0	104	56	61
11:108320812-108321473|Apoh|P	53	63	40	46
11:108341685-108342392|Apoh|P	13	54	64	42
11:108350417-108350917|Prkca|P	42	87	46	28
11:108425369-108425943|Cep112|P	77	90	68	25
11:108900909-108901259|Axin2|P	30	23	13	26
11:108909460-108910208|Axin2|P	57	87	104	86
11:108921107-108922378|Axin2|P	146	201	155	169
11:108922617-108923539|Axin2|P	49	99	68	66
11:109268876-109269679|Rgs9|P	13	76	57	41
11:109297857-109298304|Rgs9|P	42	69	25	32
11:109312194-109312551|Rgs9|P	31	43	21	24
11:109331186-109331441|1700096J18Rik|P	26	20	25	15
11:109343827-109344546|1700096J18Rik|P	64	71	43	34
11:109344763-109345112|1700096J18Rik|P	27	22	27	22
11:109345974-109350798|1700096J18Rik|P	289	534	401	321
11:109354136-109354503|1700096J18Rik|P	17	63	40	19
11:109360920-109362073|Gna13|P	60	150	106	82
11:109364455-109364774|Gm11696|P	34	37	26	34
11:109365465-109366376|Gm11696|P	110	128	78	83
11:109366411-109368383|Gm11696|P	168	207	182	144
11:109368726-109369190|Gm11696|P	69	65	75	69
11:109369678-109371561|Gm11696|P	105	194	180	138
11:109371788-109372294|Gm11696|P	50	103	59	42
11:109372969-109374310|Gm11696|P	122	140	93	105
11:109374755-109375297|Gm11696|P	87	90	71	64
11:109375578-109377843|Gm11696|P	169	336	275	252
11:109378015-109378796|Gm11696|P	82	67	49	43
11:109383800-109385735|Gm11696|P	123	174	120	80
11:109386782-109387101|Gm11696|P	34	39	35	11
11:109390951-109392133|Gm11696|P	65	98	79	52
11:109393540-109394130|Gm11696|P	22	60	31	35
11:109394764-109395833|Amz2|P	118	179	132	33
11:109398391-109398925|Amz2|P	46	19	36	33
11:109425112-109425568|Amz2|P	47	21	29	42
11:109439737-109441013|Gm45916|P	67	141	72	75
11:109462160-109463227|Slc16a6|P	30	102	40	71
11:109466369-109467947|Slc16a6|P	108	191	113	76
11:109468650-109469907|Slc16a6|P	139	231	88	53
11:109479763-109481952|Arsg|P	172	247	186	121
11:109485283-109486598|Arsg|P	87	149	110	36
11:109488088-109488974|Arsg|P	69	55	52	47
11:109494913-109495744|Arsg|P	119	141	70	57
11:109496051-109499005|Arsg|P	238	327	242	180
11:109539251-109539664|Arsg|P	12	44	27	33
11:109560743-109561434|Arsg|P	22	68	59	39
11:109568962-109570148|Arsg|P	74	107	109	49
11:109587792-109588059|Wipi1|P	5	41	27	7
11:109610213-109611053|Wipi1|P	114	95	80	75
11:109648298-109649689|Prkar1a|P	118	118	122	110
11:109650021-109650567|Prkar1a|P	93	93	50	53
11:109651793-109652769|Prkar1a|P	70	96	71	55
11:109653223-109654007|Prkar1a|P	60	68	72	44
11:109670657-109671015|Prkar1a|P	37	93	46	40
11:109671541-109672270|Fam20a|P	55	51	79	44
11:109721039-109722643|Fam20a|P	161	277	174	124
11:110156932-110157447|Abca9|P	37	56	31	28
11:110168687-110169631|Abca9|P	39	64	61	27
11:110379662-110380704|Map2k6|P	88	136	108	77
11:110419956-110420807|Map2k6|P	61	77	63	40
11:110426379-110426733|Map2k6|P	30	47	28	7
11:110427143-110428029|Map2k6|P	48	88	53	44
11:110429595-110430800|Map2k6|P	93	69	62	68
11:110431260-110432081|Map2k6|P	73	69	34	25
11:110447840-110448492|Map2k6|P	64	56	50	53
11:110448743-110449424|Map2k6|P	52	63	49	49
11:110458800-110459627|Map2k6|P	37	64	57	15
11:110463568-110464106|Map2k6|P	53	22	26	29
11:110479214-110479737|Map2k6|P	30	43	32	34
11:110561400-110561856|Map2k6|P	36	36	11	11
11:110562788-110563582|Map2k6|P	94	123	57	46
11:110642542-110642878|Map2k6|P	27	31	30	21
11:110781817-110782447|Kcnj16|P	32	80	48	26
11:110993381-110994437|Kcnj16|P	72	96	37	18
11:110996885-110997988|Kcnj16|P	69	96	56	40
11:111070479-111070988|Kcnj2|P	23	55	33	23
11:111071793-111072324|Kcnj2|P	26	26	26	45
11:111077650-111078426|Kcnj2|P	53	63	41	46
11:111092513-111093009|Kcnj2|P	27	52	32	31
11:11115883-11116604|Vwc2|P	25	10	38	47
11:111165400-111165699|Kcnj2|P	9	31	39	22
11:111170270-111170656|Kcnj2|P	36	43	21	48
11:111291031-111291291|Kcnj2|P	38	32	25	0
11:111311715-111312039|Kcnj2|P	30	43	27	26
11:112781943-112783159|Sox9|P	98	97	157	66
11:112784599-112785495|Sox9|P	100	83	47	88
11:113060876-113061396|2610035D17Rik|P	27	13	54	76
11:113062833-113063781|2610035D17Rik|P	69	39	38	61
11:113100928-113102372|2610035D17Rik|P	75	122	81	114
11:113102648-113102929|2610035D17Rik|P	18	24	40	25
11:113104846-113105460|2610035D17Rik|P	22	38	61	51
11:113121175-113121600|2610035D17Rik|P	6	39	41	52
11:113133409-113134480|2610035D17Rik|P	53	86	65	74
11:113134748-113135237|2610035D17Rik|P	20	26	46	67
11:113146656-113147201|2610035D17Rik|P	48	66	37	38
11:113155954-113156306|2610035D17Rik|P	26	0	25	36
11:113163089-113164216|2610035D17Rik|P	51	117	112	48
11:113164920-113165731|2610035D17Rik|P	122	62	60	100
11:113167407-113167955|2610035D17Rik|P	28	6	52	31
11:113174144-113174817|2610035D17Rik|P	11	71	53	49
11:113333939-113334814|4732490B19Rik|P	93	82	36	55
11:113339907-113340312|4732490B19Rik|P	44	45	34	12
11:113470032-113470616|Slc39a11|P	23	63	39	22
