SNL27	SNL45	SHAM24	SHAM35
1:120451120-120451772|Marco|P	43	73	47	52
1:120466601-120467632|Marco|P	37	58	97	54
1:120532537-120532947|Marco|P	20	33	36	14
1:120602009-120602428|En1|P	5	91	68	44
1:120602856-120603853|En1|P	132	225	176	149
1:120606569-120607404|En1|P	109	96	70	39
1:121312066-121312904|Insig2|P	56	75	37	0
1:121313247-121313656|Insig2|P	16	51	33	50
1:121313974-121316350|Insig2|P	195	227	189	163
1:121320576-121321590|Insig2|P	49	93	63	70
1:121329241-121329654|Insig2|P	45	55	31	39
1:121334236-121335254|Insig2|P	39	58	54	24
1:121427007-121427541|Ccdc93|P	57	44	27	27
1:121431375-121432901|Ccdc93|P	70	132	122	144
1:121433112-121433373|Ccdc93|P	36	32	15	26
1:121439434-121441032|Ccdc93|P	93	183	82	67
1:121441162-121442804|Ccdc93|P	129	186	140	141
1:121446584-121446962|Ccdc93|P	35	41	49	49
1:121453813-121454242|Ccdc93|P	39	58	39	32
1:121460054-121460423|Ccdc93|P	37	43	24	27
1:121461066-121462016|Ccdc93|P	79	126	77	55
1:121462914-121463511|Ccdc93|P	46	74	57	22
1:121463832-121464477|Ccdc93|P	105	168	77	80
1:121465072-121465870|Ccdc93|P	64	97	96	60
1:121466137-121466575|Ccdc93|P	17	47	23	26
1:121476930-121478111|Ccdc93|P	88	155	140	67
1:121478476-121479583|Ccdc93|P	118	146	62	71
1:121527397-121528709|Htr5b|P	100	132	80	104
1:124045831-124046240|Dpp10|P	9	33	36	0
1:125395597-125396156|Actr3|P	43	60	31	43
1:125423987-125424776|Actr3|P	28	75	42	58
1:125426454-125427415|Actr3|P	79	104	82	90
1:125428408-125428814|Actr3|P	32	36	27	41
1:125430611-125431102|Actr3|P	78	74	50	33
1:125431802-125432593|Actr3|P	24	37	50	16
1:125433164-125433469|Actr3|P	10	35	38	15
1:125437951-125438507|Actr3|P	52	57	39	52
1:125459024-125459444|Actr3|P	10	54	27	9
1:125559325-125559731|Slc35f5|P	34	43	19	27
1:125911697-125912302|Lypd1|P	24	57	59	35
1:12692309-12692594|Sulf1|P	0	8	29	30
1:127009958-127010393|Nckap5|P	48	53	8	11
1:127135165-127135889|Mgat5|P	79	82	71	64
1:127203637-127204509|Mgat5|P	55	76	77	34
1:127207532-127209499|Mgat5|P	126	229	144	168
1:127210262-127210672|Mgat5|P	43	40	44	29
1:127212005-127212505|Mgat5|P	51	31	49	33
1:127212756-127213399|Mgat5|P	50	61	52	20
1:127213638-127214563|Mgat5|P	81	76	54	51
1:127216014-127216799|Mgat5|P	30	114	62	46
1:127217311-127219785|Mgat5|P	171	218	195	178
1:127221835-127222433|Mgat5|P	55	47	26	59
1:127222714-127224207|Mgat5|P	79	141	91	60
1:127224531-127225344|Mgat5|P	56	75	41	58
1:127225688-127226518|Mgat5|P	74	90	47	50
1:127226769-127227124|Mgat5|P	34	42	30	24
1:127230278-127231189|Mgat5|P	71	92	76	35
1:127231675-127233481|Mgat5|P	152	156	149	153
1:127238744-127241788|Mgat5|P	251	394	256	234
1:127242057-127242917|Mgat5|P	68	86	56	63
1:127243129-127245043|Mgat5|P	138	146	184	104
1:127246123-127247757|Mgat5|P	126	206	116	77
1:127247935-127248796|Mgat5|P	67	74	76	58
1:127248974-127249627|Mgat5|P	82	117	73	38
1:127250126-127250970|Mgat5|P	36	102	81	61
1:127251719-127252805|Mgat5|P	37	75	55	26
1:127253087-127253840|Mgat5|P	81	83	69	86
1:127254213-127254510|Mgat5|P	26	45	44	28
1:127260177-127261666|Mgat5|P	117	156	107	99
1:127269261-127270593|Mgat5|P	81	93	91	68
1:127271334-127272349|Mgat5|P	86	95	89	70
1:127272863-127273833|Mgat5|P	71	84	69	49
1:127311845-127312541|Mgat5|P	43	73	33	44
1:127318414-127318916|Mgat5|P	18	46	48	44
1:127321534-127321906|Mgat5|P	33	35	21	34
