ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0008361,regulation of cell size,10/186,213/23328,8.62105328427243e-06,0.0205439699764212,0.0195108048012481,Bmpr2/Dpysl2/Sema3d/Map2/Pten/Aqp4/Dcx/Ulk2/Arhgap5/Wnk3,10
GO:0032535,regulation of cellular component size,13/186,413/23328,2.92176106633466e-05,0.0348127831053775,0.0330620331190501,Bmpr2/Map3k1/Dpysl2/Sema3d/Tmsb15b1/Map2/Pten/Aqp4/Shroom2/Dcx/Ulk2/Arhgap5/Wnk3,13
